index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	भरतर्षभ		भरतर्षभ	भरतर्षभ{पुं;8;एक}	भरतर्षभ{पुं;8;एक}	सम्बोधनम्,5.1	सम्बोधनम्,5.1	N8	भरतर्षभ	भरतर्षभ
2.1	मातरम्		मातरम्	मातृ{स्त्री;2;एक}	मातृ{स्त्री;2;एक}	कर्म,3.1	कर्म,3.1	N2	माता_को	माता_को
3.1	परित्यक्तुम्		परित्यक्तुम्	परि_त्यज्1{अव्य;तुमुन्;भ्वादिः}	परि_त्यज्1{अव्य;तुमुन्;भ्वादिः}	प्रयोजनम्,5.1	प्रयोजनम्1,5.1	NA	छोडने~के_लिये	छोडने~के_लिये
4.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,5.1	प्रतिषेधः,5.1	NA		
5.1	उत्सहे		उत्सहे	उत्_षह्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;भ्वादिः}	उत्_षह्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;भ्वादिः}	-	-	KP	साहस_नहीं_करता_हूँ	साहस_नहीं_करता_हूँ
6.1	अहम्		अहम्	अस्मद्{सर्वनाम;1;एक}	अस्मद्{सर्वनाम;1;एक}	कर्ता,5.1	कर्ता,5.1	N1	मैं	मैं
7.1	.		.	-	-	-	-	FS	-	-
