index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	भवान्		भवान्	भव{पुं;2;बहु}/भवत्{सर्वनाम;पुं;1;एक}	भवत्{सर्वनाम;पुं;1;एक}	कर्ता,3.1	विशेषणम्,6.1#विशेषणम्,4.1#कर्ता,3.1#कर्म,7.1	N1	आप	आप
2.1	क्षिप्रम्		क्षिप्रम्	क्षिप्रम्{अव्य}/क्षिप्र{नपुं;1;एक}/क्षिप्र{नपुं;2;एक}	क्षिप्रम्{अव्य}	क्रियाविशेषणम्,3.1	कर्म,7.1#कर्ता,3.1#क्रियाविशेषणम्,7.1#क्रियाविशेषणम्,3.1	NA	जल्दी	जल्दी
3.1	प्रतियातु		प्रतियातु	प्रति_या1{कर्तरि;लोट्;प्र;एक;परस्मैपदी;अदादिः}	प्रति_या1{कर्तरि;लोट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	वापिस_जाये	वापिस_जाये
4.1	अहम्		अहम्	अस्मद्{सर्वनाम;1;एक}	अस्मद्{सर्वनाम;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	मैं	मैं
5.1	वने		वने	वनि{पुं;8;एक}/वन{नपुं;7;एक}	वन{नपुं;7;एक}	अधिकरणम्,7.1	अधिकरणम्,7.1	N7	वन_में	वन_में
6.1	तपः		तपः	तप{पुं;1;एक}/तपस्{नपुं;1;एक}/तपस्{नपुं;2;एक}/तपस्{नपुं;8;एक}	तपस्{नपुं;2;एक}	कर्म,7.1	कर्म,7.1	N2	तप	तप
7.1	तप्स्यामि		तप्स्यामि	तप्1{कर्तरि;लृट्;उ;एक;परस्मैपदी;भ्वादिः}	तप्1{कर्तरि;लृट्;उ;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,4.1;सकर्मक	अभिहित_कर्ता,4.1;सकर्मक	KP	संतप्त_होऊँगा	संतप्त_होऊँगा
8.1	.		.	-	-	-	-	FS	-	-
