index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	kaaraka_sambandha	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	सन्धि-	1	सन्धि-अर्थम्	सन्धि	सन्धि	समासः,1.2	समासः,1.2	CP	सन्धि-के_लिये	ensure_truce				
1.2	अर्थम्			अर्थ{पुं;2;एक}/अर्थ{नपुं;1;एक}/अर्थ{नपुं;2;एक}	अर्थ{नपुं;2;एक}	प्रयोजनम्,4.1	प्रयोजनम्,4.1	N2						
2.1	राज-		राज-पुत्रं	राज		समासः,2.2	समासः,2.2	CP						
2.2	पुत्रम्	2		पुत्र{पुं;2;एक}	राजपुत्र{पुं;2;एक}	कर्म,4.1	कर्म,4.1	N2	राजपुत्र	enemy prince				
3.1	च	3	च	च{अव्य}	च{अव्य}	सम्बन्धः,2.2	सम्बन्धः,2.2	NA	को_भी	also				
4.1	लिप्सेथाः	4	लिप्सेथा	प्रछ्1{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;प्रछँ;:तुदादिः}	प्रछ्1{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;प्रछँ;:तुदादिः}	अभिहित_कर्ता,4.2;सकर्मक	अभिहित_कर्ता,4.2;सकर्मक	KP	अनुरोध	should demand				
4.2	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,4.1	कर्ता,4.1	N1	तुम	you				
5.1	भरत-	5	भरत-ऋषभ	भरत	भरत	समासः,5.2	समासः,5.2	CP	भरत-श्रेष्ठ	Best-of_Bharartas				
5.2	ऋषभ			ऋषभ{पुं;8;एक}/ऋषभ{नपुं;8;एक}	ऋषभ{पुं;8;एक}	सम्बोध्यः,4.1	सम्बोध्यः,4.1	N8						
6.1	विपरीतः	6	विपरीतः	विपरीत{पुं;1;एक(इ1;क्त;इण्;:अदादिः)}	विपरीत{पुं;1;एक(इ1;क्त;इण्;:अदादिः)}	कर्ता,10.1	कर्ता,10.1	N1	भिन्न_क्रियाविधि	contrary_course_of_action				
7.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	तो	will				
8.1	ते	7	ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	युष्मद्{सर्वनाम;4;एक}	कर्ता,9.1	कर्ता,9.1	N4	तुम्हारे_लिये	for_you				
9.1	अदेयः		अदेयः	अदेय{पुं;1;एक}	अदेय{पुं;1;एक}	विधेय_विशेषणम्,6.1	विधेय_विशेषणम्,6.1	N1	अनुचित	not_benificial				
10.1	(स्यात्)			अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,6.1	अभिहित_कर्ता,6.1	KP	होगा	be				
11.1	पुत्र	8	पुत्र	पुत्र{पुं;8;एक}	पुत्र{पुं;8;एक}	सम्बोध्यः,18.1	सम्बोध्यः,18.1	N8	पुत्र	Son				
11.2	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,18.1	कर्ता,18.1	N1	तुम	you				
12.1	कस्याञ्चित्	9	कस्याञ्चित्	किञ्चित्{सर्वनाम;स्त्री;7;एक}	किञ्चित्{अव्य}	विशेषणम्,13.1	विशेषणम्,13.1	N7	किसी	some				
13.1	आपदि		आपदि	आपद्{स्त्री;7;एक}	आपद्{स्त्री;7;एक}	अधिकरणम्,18.1	अधिकरणम्,18.1	N7	संकट_में	calamity_befalls				
14.1	तस्य	10	तस्य	तद्{सर्वनाम;नपुं;6;एक}/तद्{सर्वनाम;पुं;6;एक}	तद्{सर्वनाम;पुं;6;एक}	षष्ठीसम्बन्धः,15.1	षष्ठीसम्बन्धः,15.1	N6	उससे	from_it				
15.1	प्रमोक्षे	11	प्रमोक्षे	प्रमोक्ष{पुं;7;एक}	प्रमोक्ष{पुं;7;एक}	विषयाधिकरणम्,18.1	विषयाधिकरणम्,18.1	N7	विमुक्त_होने_का	liberate_yourself				
16.1	यत्नम्	12	यत्नम्	यत्न{पुं;2;एक}	यत्न{पुं;2;एक}	कर्म,18.1	कर्म,18.1	N2	प्रयत्न	take_effort				
17.1	च	13	च	च{अव्य}	च{अव्य}	सम्बन्धः,16.1	सम्बन्धः,16.1	NA	भी	too				
18.1	कुर्याः	14	कुर्याः	कृ3{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;डुकृञ्;:तनादिः}	कृ3{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;डुकृञ्;:तनादिः}	अभिहित_कर्ता,11.2;सकर्मक	अभिहित_कर्ता,11.2;सकर्मक	KP	करो	do				
19.1	स-	15	स-उपाय-मन्त्रवित्	स	स	समासः,19.2	समासः,19.2	CP	उपायों_से	with_means				
19.2	उपाय-			उपाय	उपाय	समासः,19.3	समासः,19.3	CP						
19.3	मन्त्रवित्		मन्त्रवित्	मन्त्रविद्{नपुं;1;एक}	मन्त्रविद्{पुं;1;एक}	विशेषणम्,11.2	विशेषणम्,11.2	N1	निपुण_मंत्रणा	expert_counsels				
21.1	.	.	-	-	-	-	-	FS	-	-				
