index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	न	1	न	न{अव्य}	न{अव्य}	प्रतिषेधः,7.1	प्रतिषेधः,7.1	NA	नहीं					
2.1	हि	2	हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	हि					
3.1	तत्	3	तत्	तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;1;एक}	कर्तृसमानाधिरणम्,11.1; कर्ता,7.1	कर्तृसमानाधिरणम्,11.1; कर्ता,7.1	N1	तत्				नित्य_सम्बन्धः,10	
4.1	तस्य		तस्य	तद्{सर्वनाम;नपुं;6;एक}	तद्{सर्वनाम;नपुं;6;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N6	फेको					
5.1	वीरस्य	4	वीरस्य	वीर{पुं;6;एक}/वीर{नपुं;6;एक}	वीर{पुं;6;एक}	षष्ठीसम्बन्धः,6.1	षष्ठीसम्बन्धः,6.1	N6	वीर_के					
6.1	हृदयात्	5	हृदयात्	हृदय{पुं;5;एक}	हृदय{पुं;5;एक}	अपादानम्,7.1	अपादानम्,7.1	N5	हृदय_से					
7.1	अपसर्पति		अपसर्पति	अप_सृप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;सृपॢँ;:भ्वादिः}	अप_सृप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;सृपॢँ;:भ्वादिः}	अभिहित_कर्ता,3.1	अभिहित_कर्ता,3.1	KP	अप_सृप्1_प्प्_स्क्ता_है					
8.1	धृतराष्ट्रस्य	6	धृतराष्ट्रस्य	धृतराष्ट्र{पुं;6;एक}	धृतराष्ट्र{पुं;6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	धृतराष्ट्र_की					
9.1	दुर्बुद्धेः	7	दुर्बुद्धेः	दुर्बुद्धि{स्त्री;5;एक}/दुर्बुद्धि{स्त्री;6;एक}	दुर्बुद्धि{स्त्री;5;एक}	हेतुः,13.1	हेतुः,13.1	N5	मूर्ख_से					
10.1	यत्		यत्	यत्{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}	यद्{सर्वनाम;नपुं;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N1	कि				नित्य_सम्बन्धः,3	
11.1	वृत्तं		वृत्तं	वृत्त{नपुं;1;एक}/वृत्त{नपुं;2;एक}/वृत्त{पुं;2;एक(वृत्1;क्त;वृतुँ;:भ्वादिः)}/वृत्त{नपुं;1;एक(वृत्1;क्त;वृतुँ;:भ्वादिः)}/वृत्त{नपुं;2;एक(वृत्1;क्त;वृतुँ;:भ्वादिः)}/वृत्त{पुं;2;एक(वृत्2;क्त;वृतुँ;:दिवादिः)}/वृत्त{नपुं;1;एक(वृत्2;क्त;वृतुँ;:दिवादिः)}/वृत्त{नपुं;2;एक(वृत्2;क्त;वृतुँ;:दिवादिः)}	वृत्त{नपुं;1;एक(वृत्2;क्त;वृतुँ;:दिवादिः)}	कर्ता,14.1	कर्ता,14.1	N1	मुड्॥़अ_कर_आया_हुआ					
12.1	द्यूत-		द्यूत-कारितम्	द्यूत	द्यूत	T3,13.1	T3,13.1	CP	द्यूत-					
13.1	कारितम्			कारितम्{नपुं;1;एक}	कारितम्{नपुं;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N1						
14.1	(आसीत्)				अस्{कर्तरि,लुङ्,प्र,एक,परस्मैपदी{धातुः असँ} भ्वादिः}	अभिहित_कर्ता,11.1	अभिहित_कर्ता,11.1	KP						
15.1	.	.	-	-	-	-	-	FS	-					
