index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	Name-classification
													
1.1	बहु-	3	बहु-रूपाः	बहु	बहु	समासः,1.2	समासः,1.2	CP	अधिक-रूपा				
1.2	रूपाः			रूप{पुं;8;बहु}/रूप{पुं;1;बहु}/रूपा{स्त्री;8;बहु}/रूपा{स्त्री;1;बहु}/रूपा{स्त्री;2;बहु}	रूपा{स्त्री;1;बहु}	विशेषणम्,2.1	विशेषणम्,2.1	N1					
2.1	आपदः	1	आपदः	आपद्{स्त्री;1;बहु}/आपद्{स्त्री;2;बहु}/आपद्{स्त्री;5;एक}/आपद्{स्त्री;6;एक}/आपद्{स्त्री;8;बहु}	आपद्{स्त्री;1;बहु}	कर्ता,7.1	कर्ता,7.1	N1	संकटें				
3.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	भी				
4.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	भी				
5.1	राज्ञाम्	6	राज्ञाम्	राजन्{पुं;6;बहु}	राजन्{पुं;6;बहु}	षष्ठीसम्बन्धः,2.1	षष्ठीसम्बन्धः,2.1	N6	राजाओं_की				
6.1	बोद्धव्याः	2	बोद्धव्या	बोद्धव्य{पुं;1;बहु(बुध्3;तव्यत्;बुधँ;:दिवादिः)}/बोद्धव्या{स्त्री;1;बहु(बुध्3;तव्यत्;बुधँ;:दिवादिः)}/बोद्धव्या{स्त्री;2;बहु(बुध्3;तव्यत्;बुधँ;:दिवादिः)}	बोद्धव्या{स्त्री;1;बहु(बुध्3;तव्यत्;बुधँ;:दिवादिः)}	विधेय_विशेषणम्,2.1	विधेय_विशेषणम्,2.1	N1	जाननीं_चाहिये				
7.1	भवन्ति	5	भवन्ति	भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भू;:भ्वादिः}/भवन्ती{स्त्री;8;एक}/भवत्{नपुं;1;बहु}/भवत्{नपुं;2;बहु}	भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भू;:भ्वादिः}	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP	होते_हैं				
8.1	नर-	4	नर-अधिप	नर	नर	समासः,8.2	समासः,8.2	CP	नर-अधिप				
8.2	अधिप			अधिप{पुं;8;एक}/अधिप{नपुं;8;एक}	अधिप{पुं;8;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N8					
9.1	कौरव्य	7	कौरव्य	कौरव्य{पुं;8;एक}	कौरव्य{पुं;8;एक}	सम्बोध्यः,14.1	सम्बोध्यः,14.1	N8	कौरव्य				
10.1	याः	8	याः	यद्{सर्वनाम;स्त्री;1;बहु}/यद्{सर्वनाम;स्त्री;2;बहु}	यद्{सर्वनाम;स्त्री;1;बहु}	विशेषणम्,2.1	विशेषणम्,2.1	N1	जो				
11.1	ताः		ताः	तद्{सर्वनाम;स्त्री;1;बहु}/तद्{सर्वनाम;स्त्री;2;बहु}	तद्{सर्वनाम;स्त्री;2;बहु}	नित्यसम्बन्धः,10.1;कर्म,14.1	नित्यसम्बन्धः,10.1;कर्म,14.1	N2	उनको				
12.1	अतः	9	अतः	अतः{अव्य}	अतः{अव्य}	सम्बन्धः,14.1	सम्बन्धः,14.1	NA	अतः				
13.1	पृथक्		पृथक्	पृथक्{अव्य}	पृथक्{अव्य}	क्रियाविशेषणम्,14.1	क्रियाविशेषणम्,14.1	NA	पृथक्				
14.1	शृणु	10	शृणु	श्रु1{कर्तरि;लोट्;म;एक;परस्मैपदी;श्रु;:भ्वादिः}	श्रु1{कर्तरि;लोट्;म;एक;परस्मैपदी;श्रु;:भ्वादिः}	अभिहित_कर्ता, 14.2	अभिहित_कर्ता, 14.2	KP	सुनो				
14.2	(त्वम्)					कर्ता,14.1	कर्ता,14.1						
15.1	.	.	-	-	-	-	-	FS	-				
