index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	इदं	1	इदं	इदम्{सर्वनाम;नपुं;1;एक}/इदम्{सर्वनाम;नपुं;2;एक}	इदम्{सर्वनाम;नपुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N1	यह					
2.1	च	2	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,4.1	समुच्चय_द्योतकः,4.1	NA	और					
3.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	भी					
4.1	शरीरं	3	शरीरं	शरीर{नपुं;1;एक}	शरीर{नपुं;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	शरीर					
5.1	मे	4	मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,4.1	N6	मेरा					
6.1	तव	5	तव	युष्मद्{सर्वनाम;6;एक}	युष्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,7.1	षष्ठीसम्बन्धः,7.1	N6	तुम्हारा					
7.1	आयत्तम्		आयत्तम्	आयत्{पुं;2;एक(आङ्_इ1;शतृ_लट्;इण्;अदादिः)}	आयत्{पुं;2;एक(आङ्_इ1;शतृ_लट्;इण्;अदादिः)}	वाक्यकर्म,12.1	वाक्यकर्म,12.1	N2	आता_हुआ					
8.1	जन-अधिप	6	जन-अधिप	जन-अधिप{पुं;8;एक}	जन-अधिप{पुं;8;एक}	सम्बोध्यः,12.1	सम्बोध्यः,12.1	N8	राजा		षष्ठी तत्पुरुष			
9.1	धनानि	7	धनानि	धन{नपुं;1;बहु}	धन{नपुं;1;बहु}	समुुच्चितः,4.1	समुुच्चितः,4.1	N1	धन					
10.1	च	8	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,4.1	समुच्चय_द्योतकः,4.1	NA	और					
11.1	इति		इति	इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतक,12.1	वाक्यकर्म_द्योतक,12.1	NA	ऐसा					
12.1	विध्दि	9	विध्दि	-	-	अभिहित_कर्ता,13.1	अभिहित_कर्ता,13.1	KP	जान ना					
13.1	त्वं	10	त्वं	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,12.1	कर्ता,12.1	N1	तुम					
14.1	क्षन्तः	11	क्षन्तः	क्षन्तृ{पुं;8;एक}/क्षन्तृ<वर्गः:ना>{नपुं;8;एक}	क्षन्तृ{पुं;8;एक}	सम्बोध्यः,12.1	सम्बोध्यः,12.1	N8	क्षन्तृ					
15.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,16.1	प्रतिषेधः,16.1	NA	नहीं					
16.1	अस्ति		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,18.1	अभिहित_कर्ता,18.1	KP	है					
17.1	अत्र		अत्र	अत्र{अव्य}	अत्र{अव्य}	सम्बन्धः,16.1	सम्बन्धः,16.1	NA	यहाँ					
18.1	संशयः	12	संशयः	संशय{पुं;1;एक}	संशय{पुं;1;एक}	कर्ता,16.1	कर्ता,16.1	N1	शंका					
19.1	.	.	-	-	-	-	-	FS	-					
