index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	करोति		करोत्याहारमिति	कृ3{कर्तरि;लट्;प्र;एक;परस्मैपदी;डुकृञ्;:तनादिः}	कृ3{कर्तरि;लट्;प्र;एक;परस्मैपदी;डुकृञ्;:तनादिः}	वाक्यकर्म,7.1	वाक्यकर्म,7.1	KP	करता_है					
2	आहारम्			आहार{पुं;2;एक}/आहार{पुं;2;एक(हृ1;घञ्;हृञ्;:भ्वादिः)}	आहार{पुं;2;एक}	कर्म,1	कर्म,1	N2	आहार_को					
3	इति			इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,1	वाक्यकर्म_द्योतकः,1	NA	ऐसा					
4	माम्		माम्	अस्मद्{सर्वनाम;2;एक}	अस्मद्{सर्वनाम;2;एक}	कर्म,7.1	कर्म,7.1	N2	मुझे					
5	सर्वः		सर्वः	सर्व{सर्वनाम;पुं;1;एक}	सर्व{सर्वनाम;पुं;1;एक}	विशेषणम्,6	विशेषणम्,6	N1	सब					
6	परिजनः		परिजनः	परिजन{पुं;1;एक(जन्2;घञ्;जनीँ;:दिवादिः)}	परिजन{पुं;1;एक(जन्2;घञ्;जनीँ;:दिवादिः)}	कर्ता,9;कर्ता,7	कर्ता,9;कर्ता,7	N1	नौकर_चाकर					
7	सदा		सदा	सदा{अव्य}	सदा{अव्य}	कालाधिकरणम्,7.1	कालाधिकरणम्,7.1	NA	हमेशा					
7.1	(वेत्ति)					अभिहित_कर्ता,6;सकर्मक	अभिहित_कर्ता,6;सकर्मक	KP						
8	युधिष्ठिरभयात्		युधिष्ठिरभयाद्वेत्ति	युधिष्ठिर-भय{पुं;5;एक}/भय{नपुं;5;एक}	युधिष्ठिर-भय{पुं;5;एक}	हेतुः,9	हेतुः,9	N5	युधिष्ठिर-भय_से					
9	(वेत्ति)एति			इ1{कर्तरि;लट्;प्र;एक;परस्मैपदी;इण्;:अदादिः}	इ1{कर्तरि;लट्;प्र;एक;परस्मैपदी;इण्;:अदादिः}	अभिहित_कर्ता,6;सकर्मक	अभिहित_कर्ता,6;सकर्मक	KP	जाता_है					
4	(माम्)		माम्	अस्मद्{सर्वनाम;2;एक}	अस्मद्{सर्वनाम;2;एक}	कर्म,9	कर्म,9	N2	मुझे					
10	पाण्डवः		पाण्डवः	पाण्डु{पुं;1;बहु}/पाण्डु{स्त्री;1;बहु}/पाण्डव{पुं;1;एक}/पाण्डु{पुं;8;बहु}/पाण्डु{स्त्री;8;बहु}	पाण्डव{पुं;1;एक}	कर्ता,12	कर्ता,12	N1	पाण्डु					
11	भृशम्		भृशम्	भृशम्{अव्य}/भृश{नपुं;1;एक}/भृश{नपुं;2;एक}	भृश{नपुं;2;एक}	क्रियाविशेषणम्,12	क्रियाविशेषणम्,12	N2						
12	तप्यति(तप्यते)		तप्यति	तप्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;तपँ;:भ्वादिः}/तप्2{कर्तरि;लट्;प्र;एक;आत्मनेपदी;तपँ;:दिवादिः}/तप्2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;तपँ;:दिवादिः}	तप्2{कर्तरि;लट्;प्र;एक;आत्मनेपदी;तपँ;:दिवादिः}	अभिहित_कर्ता,10;हेतुः,9	अभिहित_कर्ता,10;हेतुः,9	KP	संतप्त_हुआ_जाता_है					
12.1	(मम)					सम्बन्धः,12.2	सम्बन्धः,12.2	N6						
12.2	(चिन्तया)					हेतुः,12	हेतुः,12	N3						
13	.	.	-	-	-	-	-	FS	-					
