index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	Name-classification
											
1.1	यदा	1	यदा	यदा{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}	यदा{अव्य}	नित्यसम्बन्धः,8.1;कालाधिकरणम्,4.1	नित्यसम्बन्धः,8.1;कालाधिकरणम्,4.1	NA	तब् 		
2.1	दुर्योधनेन	2	दुर्योधनेन	दुर्योधन{पुं;3;एक}/दुर्योधन{नपुं;3;एक}	दुर्योधन{पुं;3;एक}	कर्ता,4.1	कर्ता,4.1	N3	दुर्योधन_से		
3.1	इदम्		इदम्	इदम्{सर्वनाम;नपुं;1;एक}/इदम्{सर्वनाम;नपुं;2;एक}	इदम्{सर्वनाम;नपुं;1;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N1	यह		
4.1	भुक्तम्	3	भुक्तम्	भुक्त{पुं;2;एक}/भुक्त{नपुं;1;एक}/भुक्त{नपुं;2;एक}	भुक्त{नपुं;1;एक}	प्रतियोगी,1.1;अभिहितःकर्ता_2.1	प्रतियोगी,1.1;अभिहितःकर्ता_2.1	N1	भोगे_को		
5.1	राज्यं	4	राज्यं	राज्य{नपुं;1;एक}/राज्य{नपुं;2;एक}	राज्य{नपुं;1;एक}	कर्म,4.1	कर्म,4.1	N1	राज्य		
6.1	अ-		अ-कण्टकं	अ	अ	समासः,6.2	समासः,6.2	CP	अकाँटे होते		
6.2	कण्टकं			कण्टक{नपुं;1;एक(कट्2;ण्वुल्;कटीँ;:भ्वादिः)}	कण्टक{नपुं;1;एक(कट्2;ण्वुल्;कटीँ;:भ्वादिः)}	विशेषणम्,5.1	विशेषणम्,5.1	N1			
7.1	अपि	5	अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1	NA	भी		
8.1	तत्र	6	तत्र	तत्र{अव्य}	तत्र{अव्य}	कालाधिकरणम्,13.1;अनुयोगी,13.1	कालाधिकरणम्,13.1;अनुयोगी,13.1	NA	वहाँ		
9.1	न	7	न	न{अव्य}	न{अव्य}	प्रतिषेधः,13.1	प्रतिषेधः,13.1	NA	नहीं		
10.1	वः	8	वः	युष्मद्{सर्वनाम;2;बहु}/युष्मद्{सर्वनाम;4;बहु}/युष्मद्{सर्वनाम;6;बहु}	युष्मद्{सर्वनाम;2;बहु}	कर्म,13.1	कर्म,13.1	N2	वो		
11.1	मन्दः	9	मन्दः	मन्द{पुं;1;एक}	मन्द{पुं;1;एक}	विशेषणम्,12.1	विशेषणम्,12.1	N1	मन्द बुध्दि		
12.1	दुर्बुधिः	10	दुर्बुधिः	दुर्मति{पुं;1;एक}/दुर्मति{स्त्री;1;एक}	दुर्मति{पुं;1;एक}	कर्ता,13.1	कर्ता,13.1	N1	दुर्मति होकर् भि		
13.1	अपराध्दवान्		अपराध्दवान्	अपराध्द{पुं;1;एक}	अपराध्द{पुं;1;एक}	अभिहित_कर्ता,12.1	अभिहित_कर्ता,12.1	N1	अपराध् किया		
14.1	.	.	-	-	-	-	-	FS	-		
