index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	Name-classification
													
1.1	यदि	1	यदि	यदि{अव्य}	यदि{अव्य}	नित्यसम्बन्धः,16.1	नित्यसम्बन्धः,16.1	NA	यदि				
2.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	ही				
3.1	तैः	2	तैः	तद्{सर्वनाम;पुं;3;बहु}/तद्{सर्वनाम;नपुं;3;बहु}	तद्{सर्वनाम;पुं;3;बहु}	विशेषणम्,8.1	विशेषणम्,8.1	N3	उनसे				
4.1	कृतम्	3	कृतम्	कृत्{पुं;2;एक}/कृत{नपुं;1;एक}/कृत{नपुं;2;एक}/कृत{पुं;2;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/कृत{नपुं;1;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/कृत{नपुं;2;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/कृत{पुं;2;एक(कृ2;क्त;कृञ्;:स्वादिः)}/कृत{नपुं;1;एक(कृ2;क्त;कृञ्;:स्वादिः)}/कृत{नपुं;2;एक(कृ2;क्त;कृञ्;:स्वादिः)}/कृत{पुं;2;एक(कृ1;क्त;कृञ्;:भ्वादिः)}/कृत{नपुं;1;एक(कृ1;क्त;कृञ्;:भ्वादिः)}/कृत{नपुं;2;एक(कृ1;क्त;कृञ्;:भ्वादिः)}	कृत{नपुं;1;एक}	अभिहित_कर्म,6.1;प्रतियोगी,1.1	अभिहित_कर्म,6.1;प्रतियोगी,1.1	N1	कृत्_को				
5.1	किञ्चित्	4	किञ्चित्	किञ्चित्{अव्य}/किञ्चित्{सर्वनाम;नपुं;1;एक}/किञ्चित्{सर्वनाम;नपुं;2;एक}	किञ्चित्{अव्य}	विशेषणम्,6.1	विशेषणम्,6.1	NA	कुछ				
6.1	व्यलीकम्		व्यलीकम्	व्यलीक{पुं;2;एक}/व्यलीक{नपुं;1;एक}/व्यलीक{नपुं;2;एक}	व्यलीक{नपुं;1;एक}	मुख्यकर्म,4.1	मुख्यकर्म,4.1	N1	मिथ्ये_को				
7.1	वा	5	वा	वा{अव्य}	वा{अव्य}	अन्यतर_द्योतकः,8.1	अन्यतर_द्योतकः,8.1	NA	या				
8.1	सुतैः	6	सुतैः	सुत{पुं;3;बहु}/सुत{पुं;3;बहु(षु3;क्त;षुञ्;:स्वादिः)}/सुत{नपुं;3;बहु(षु3;क्त;षुञ्;:स्वादिः)}/सुत{पुं;3;बहु(शु1;क्त;शु;:भ्वादिः)}/सुत{नपुं;3;बहु(शु1;क्त;शु;:भ्वादिः)}/सुत{पुं;3;बहु(षु2;क्त;षु;:अदादिः)}/सुत{नपुं;3;बहु(षु2;क्त;षु;:अदादिः)}	सुत{पुं;3;बहु}	कर्ता,4.1	कर्ता,4.1	N3	पुत्रों_से				
9.1	मम		मम	अस्मद्{सर्वनाम;6;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,8.1	षष्ठीसम्बन्धः,8.1	N6	मेरा				
10.1	यत्	7	यत्	यत् अव्य यद् सर्वनाम नपुं 1 एक यद् सर्वनाम नपुं 2 एक यत् नपुं 1 एक{कृदन्त}({कृत्_धातु इ1} शतृ_लट्{धातुः इण्} अदादिः) यत् नपुं 2 एक{कृदन्त}({कृत्_धातु इ1} शतृ_लट्{धातुः इण्} अदादिः) यत् नपुं 8 एक{कृदन्त}({कृत्_धातु इ1} शतृ_लट्{धातुः इण्} अदादिः)	यद्{सर्वनाम;नपुं;1;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N1	कुछ भी				
11.1	अन्येन		अन्येन	अन्य{सर्वनाम;पुं;3;एक}/अन्य{सर्वनाम;नपुं;3;एक}	अन्य{सर्वनाम;पुं;3;एक}	अन्यतरः,8.1	अन्यतरः,8.1	N3	अन्य_से				
12.1	मदीयेन	8	मदीयेन	मदीय{पुं;3;एक}/मदीय{नपुं;3;एक}	मदीय{पुं;3;एक}	अन्यतरः,8.1	अन्यतरः,8.1	N3	मेरे_से				
13.1	तत्	9	तत्	तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;1;एक}	कर्म,14.1	कर्म,14.1	N1	वह				
14.1	अनुज्ञातुम्		अनुज्ञातुम्	ज्ञा1{अव्य;तुमुन्;ज्ञा;:क्र्यादिः}	अनु_ज्ञा1{अव्य;तुमुन्;ज्ञा;:क्र्यादिः}	प्रयोजनम्,15.1	प्रयोजनम्,15.1	NA	अनुमति देना				
15.1	अर्हथ		अर्हथ	अर्ह्1{कर्तरि;लट्;म;बहु;परस्मैपदी;अर्हँ;:भ्वादिः}/अर्ह्2{कर्तरि;लट्;म;बहु;परस्मैपदी;अर्हँ;:चुरादिः}	अर्ह्1{कर्तरि;लट्;म;बहु;परस्मैपदी;अर्हँ;:भ्वादिः}	अभिहित_कर्ता,17.1	अभिहित_कर्ता,17.1	KP	योग्य_होते_हो				
16.1	(तर्हि)			तर्हि{अव्य}	तर्हि{अव्य}	अनुयोगी,15.1	अनुयोगी,15.1	NA	तब				
17.1	(यूयम्)			युष्मद्{सर्वनाम;1;बहु}	युष्मद्{सर्वनाम;1;बहु}	कर्ता,15.1	कर्ता,15.1	N1	तुम				
18.1	.	.	-	-	-	-	-	FS	-	-			
