index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	शृण्वन्ति	1	शृण्वन्ति	श्रु1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;श्रु;:भ्वादिः}/शृण्वत्{नपुं;1;बहु(श्रु1;शतृ_लट्;श्रु;:भ्वादिः)}/शृण्वत्{नपुं;2;बहु(श्रु1;शतृ_लट्;श्रु;:भ्वादिः)}	श्रु1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;श्रु;:भ्वादिः}	अभिहित_कर्ता,3.1;सकर्मक	अभिहित_कर्ता,3.1;सकर्मक	KP	सुनते_हैं	listened				
2.1	एकाग्र-		एकाग्र-मनसः	एकाग्र	एकाग्र	समासः,2.2	समासः,2.2	CP	एकाग्र_मन_से	with_undivided_mind				
2.2	मनसः			मनस्{नपुं;5;एक}/मनस्{नपुं;6;एक}/मनस्{पुं;8;बहु}/मनस्{पुं;1;बहु}/मनस्{पुं;2;बहु}/मनस्{पुं;5;एक}/मनस्{पुं;6;एक}/मनस{पुं;1;एक}	मनस्{पुं;1;बहु}	विशेषणम्,3.1	विशेषणम्,3.1	N1						
3.1	ब्राह्मणाः	2	ब्राह्मणाः	ब्राह्मण{पुं;1;बहु}/ब्राह्मणा{स्त्री;1;बहु}/ब्राह्मणा{स्त्री;2;बहु}/ब्राह्मण{पुं;8;बहु}	ब्राह्मण{पुं;1;बहु}	कर्ता,1.1	कर्ता,1.1	N1	ब्रह्मणों	Brahmanas				
4.1	कुरुजाङ्गलाः	3	कुरुजाङ्गलाः	कुरुजाङ्गल{पुं;1;बहु}	कुरुजाङ्गल{पुं;1;बहु}	विशेषणम्,3.1	विशेषणम्,3.1	N1	कुरुजाङल_से	from Kurujaangalas				
5.1	क्षत्रियाः	4	क्षत्रियाः	क्षत्रिय{पुं;1;बहु}/क्षत्रिया{स्त्री;1;बहु}/क्षत्रिया{स्त्री;2;बहु}/क्षत्रिय{पुं;8;बहु}/क्षत्रिया{स्त्री;8;बहु}	क्षत्रिय{पुं;1;बहु}	समुच्चितः,3.1	समुच्चितः,3.1	N1	क्षत्रियों	Kshatriyas				
6.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.1	समुच्चय_द्योतकः,3.1	NA	और	and				
7.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	भी	also				
8.1	वैश्याः	5	वैश्याः	वैश्य{पुं;1;बहु}/वैश्य{पुं;8;बहु}	वैश्य{पुं;1;बहु}	समुच्चितः,3.1	समुच्चितः,3.1	N1	वैश्यों	Vaishyas				
9.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.1	समुच्चय_द्योतकः,3.1	NA	और	and				
10.1	शूद्राः	6	शूद्राः	शूद्र{पुं;1;बहु}/शूद्रा{स्त्री;1;बहु}/शूद्रा{स्त्री;2;बहु}/शूद्र{पुं;8;बहु}/शूद्रा{स्त्री;8;बहु}	शूद्र{पुं;1;बहु}	समुच्चितः,3.1	समुच्चितः,3.1	N1	शूद्रों	Shudras				
11.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.1	समुच्चय_द्योतकः,3.1	NA	और	and				
12.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	भी	also				
13.1	समागताः	7	समागताः	समागत{पुं;1;बहु}/समागता{स्त्री;1;बहु}/समागता{स्त्री;2;बहु}/समागत{पुं;8;बहु}	समागत{पुं;1;बहु(गम्1;क्त;गमॢ;:भ्वादिः)}	विधेय_विशेषणम्,3.1	विधेय_विशेषणम्,3.1	N1	आये_हुवे	arrived_together				
14.1	.	.	-	-	-	-	-	FS	-	-				
