index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	पुत्र	1	पुत्र	पुत्र{पुं;8;एक}	पुत्र{पुं;8;एक}	सम्बोध्यः,3.1	सम्बोध्यः,3.1	N8	पुत्र					
2.1	(त्वं)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,3.1	कर्ता,3.1	N1	तुम					
3.1	विश्रम्यस्व		विश्रम्यस्व	वि-श्रम्1{भावे;लोट्;म;एक;आत्मनेपदी;श्रमुँ;:दिवादिः}	वि-श्रम्1{भावे;लोट्;म;एक;आत्मनेपदी;श्रमुँ;:दिवादिः}	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP	तपश्चर्या_करे					
4.1	मम		मम	अस्मद्{सर्वनाम;6;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,5.1	षष्ठीसम्बन्धः,5.1	N6	मेरा					
5.1	श्रमः		श्रमः	श्रम{पुं;1;एक}	श्रम{पुं;1;एक}	कर्ता,8.1	कर्ता,8.1	N1	श्रम					
6.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	भी					
7.1	बलवान्	4	बलवाञ्श्रमः	बल{मतुप्;पुं;1;एक}	बल{मतुप्;पुं;1;एक}	विधेय_विशेषणम्,5.1	विधेय_विशेषणम्,5.1	N1	बल					
8.1	(अस्ति)		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,5.1;वाक्यकर्म,11.1	अभिहित_कर्ता,5.1;वाक्यकर्म,11.1	KP	है					
9.1	इति	5	इत्युक्त्वा	इति{अव्य}	इति{अव्य}	वाक्यकर्मद्योतकः,11.1	वाक्यकर्मद्योतकः,11.1	NA	ऐसा					
10.1	तावत्	3	तावत्	तावत्{अव्य}/तावत्{नपुं;1;एक}/तावत्{नपुं;2;एक}/तावत्{नपुं;8;एक}	तावत्{नपुं;2;एक}	क्रियाविशेषणम्,16.1	क्रियाविशेषणम्,16.1	N2	तब_तक					
11.1	उक्त्वा		उक्त्वा	वच्1{अव्य;क्त्वा;वचँ;:अदादिः}	वच्1{अव्य;क्त्वा;वचँ;:अदादिः}	पूर्वकालः,16.1	पूर्वकालः,16.1	NA	बोल_कर					
12.1	राजा	6	प्राविशद्राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,16.1	कर्ता,16.1	N1	राजा_ने					
13.1	तदा	9	तदा	तदा{अव्य}	तदा{अव्य}	कालाधिकरणम्,16.1	कालाधिकरणम्,16.1	NA	तब					
14.1	गान्धार्याः	7	गान्धार्या	गान्धारी{स्त्री;5;एक}/गान्धारी{स्त्री;6;एक}	गान्धारी{स्त्री;6;एक}	षष्ठीसम्बन्धः,15.1	षष्ठीसम्बन्धः,15.1	N6	गान्धारी_के					
15.1	भवनम्	8	भवनं	भवन{नपुं;1;एक}/भवन{नपुं;2;एक}/भवन{नपुं;1;एक(अस्2;ल्युट्;असँ;:अदादिः)}/भवन{नपुं;2;एक(अस्2;ल्युट्;असँ;:अदादिः)}/भवन{नपुं;1;एक(भू1;ल्युट्;भू;:भ्वादिः)}/भवन{नपुं;2;एक(भू1;ल्युट्;भू;:भ्वादिः)}	भवन{नपुं;2;एक(भू1;ल्युट्;भू;:भ्वादिः)}	कर्म,16.1	कर्म,16.1	N2	भवन_में					
16.1	प्राविशत्			प्र_विश्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;विशँ;:तुदादिः}	प्र_विश्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;विशँ;:तुदादिः}	अभिहित_कर्ता,12.1;सकर्मक	अभिहित_कर्ता,12.1;सकर्मक	KP	प्रवेश_किया					
17.1	.	.	-	-	-	-	-	FS	-					
