index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	kaaraka_sambandha	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	गान्धारी	1	गान्धारी	गान्धारी{स्त्री;1;एक}/गान्धारि{पुं;1;द्वि}/गान्धारि{पुं;2;द्वि}/गान्धारि{पुं;8;द्वि}	गान्धारी{स्त्री;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	गान्धारी					
2.1	च	2	च	च{अव्य}	च{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	और					
3.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	ही					
4.1	धर्मज्ञा	3	धर्मज्ञा	धर्मज्ञा{स्त्री;1;एक}	धर्मज्ञा{स्त्री;1;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N1	धर्मज्ञा					
5.1	कुन्त्या	4	कुन्त्या	कुन्ती{स्त्री;3;एक}	कुन्ती{स्त्री;3;एक}	सहार्थः,11.1	सहार्थः,11.1	N3	कुन्ती_से					
6.1	सह	5	सह	सह{अव्य}	सह{अव्य}	सहार्थ_द्योतकः,5.1	सहार्थ_द्योतकः,5.1	NA	साथ					
7.1	मनस्विनी	6	मनस्विनी	मनस्विनी{स्त्री;1;एक}	मनस्विनी{स्त्री;1;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N1	मनस्विनी					
8.1	वधूभिः	7	वधूभिः	वधू{स्त्री;3;बहु}	वधू{स्त्री;3;बहु}	कर्ता,10.1	कर्ता,10.1	N3	बहुओं_से					
9.1	उपचारेण		उपचारेण	उपचार{पुं;3;एक}	उपचार{पुं;3;एक}	करणम्,10.1	करणम्,10.1	N3	उपचार_से					
10.1	पूजिता	8	पूजिता	पूज्1{कर्मणि;लुट्;प्र;एक;आत्मनेपदी;पूजँ;:चुरादिः}/पूजिता{स्त्री;1;एक(पूज्1;क्त;पूजँ;:चुरादिः)}	पूजिता{स्त्री;1;एक(पूज्1;क्त;पूजँ;:चुरादिः)}	विशेषणम्,1.1;अभिहित_कर्म,1.1;सकर्मक	विशेषणम्,1.1;अभिहित_कर्म,1.1;सकर्मक	KP	पूजा_की					
11.1	अभुङ्क्त		अभुङ्क्त	आ-भुज्2{कर्तरि;लोट्;म;बहु;परस्मैपदी;भुजँ;:रुधादिः}	भुज्{कर्तरि;लङ्;प्र;एक;आत्मनेपदी{धातुः भुजँ} रुधादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	संरक्षण_करो					
12.1	भारत	9	भारत	भारत{पुं;8;एक}	भारत{पुं;8;एक}	सम्बोध्यः,11.1	सम्बोध्यः,11.1	N8	भारत					
13.1	.	.	-	-	-	-	-	FS	-					
