index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	सः	1	स	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N1	वह					
2.1	राजा	2	राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,7.1	कर्ता,7	N1	राजा					
3.1	सुमहत्-	3	सुमहातेजा	सुमहत्	सु	Bs6,3.2	समासः,3.2	CP	सु-गाय-					
3.2	तेजाः			तेजा{पुं;1;बहु}	महातेजा{पुं;1;बहु}	विशेषणम्,2.1	विशेषणम्,2.1	N1						
4.1	वृद्धः	4	वृद्धः	वृद्ध{पुं;1;एक}	वृद्ध{पुं;1;एक}	विशेषणम्,2.1	विशेषणम्,2	N1	वृद्ध					
5.1	कुरु-	5	कुरुकुलोद्वहः	कुरु	कुरु	T6,5.2	समासः,5.2	CP						
5.2	कुल-			कुल	कुल	T6,5.3	समासः,5.3	CP						
5.3	उद्वहः			उद्वह{पुं;1;एक}	उद्वह{पुं;1;एक}	विशेषणम्,2.1	विशेषणम्,2	N1						
6.1	न	6	नापश्यत	न{अव्य}	न{अव्य}	प्रतिषेधः,7.1	प्रतिषेधः,7.1	NA	नहीं					
7.1	अपश्यत(अपश्यत्)			दृश्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;दृशिँर्;:भ्वादिः}/दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;दृशिँर्;:भ्वादिः}	दृश्{कर्तरि;लङ्;प्र;एक;परस्मैपदी{धातुः दृशिँर्} भ्वादिः}	अभिहित_कर्ता,2;सकर्मक	अभिहित_कर्ता,2;सकर्मक	KP	देखा					
8.1	तदा	7	तदा	तदा{अव्य}	तदा{अव्य}	कालाधिकरणम्,7.1	कालाधिकरणम्,7.1	NA	तब					
9.1	किञ्चित्	8	किञ्चिदप्रियं	किञ्चित्{अव्य}/किञ्चित्{सर्वनाम;नपुं;1;एक}/किञ्चित्{सर्वनाम;नपुं;2;एक}	किञ्चित्{अव्य}	विशेषणम्,10.1	विशेषणम्,10.1	NA						
10.1	अप्रियं			अप्रिय{पुं;2;एक}/अप्रिय{नपुं;1;एक}/अप्रिय{नपुं;2;एक}	अप्रिय{पुं;2;एक}	कर्म,7.1	कर्म,7.1	N2	अप्रिय_को					
11.1	पाण्डुनन्दने	9	पाण्डुनन्दने	पाण्डु-नन्दना{स्त्री;1;द्वि}/नन्दना{स्त्री;2;द्वि}/नन्दन{पुं;7;एक}/पाण्डु-नन्दन{नपुं;1;द्वि(नद्1;ल्युट्;टुनदिँ;:भ्वादिः)}/पाण्डु-नन्दन{नपुं;2;द्वि(नद्1;ल्युट्;टुनदिँ;:भ्वादिः)}/पाण्डु-नन्दन{नपुं;7;एक(नद्1;ल्युट्;टुनदिँ;:भ्वादिः)}	पाण्डु-नन्दन{पुं;7;एक}	विषयाधिकरणम्,7.1	विषयाधिकरणम्,7.1	N7	पीला-नन्दनायें					
12.1	.	.	-	-	-	-	-	FS	-					
