index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	तस्य		तस्य	तद्{सर्वनाम;नपुं;6;एक}/तद्{सर्वनाम;पुं;6;एक}	तद्{सर्वनाम;पुं;6;एक}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,3.1	N6	उसका					
2.1	तत्		तत्	तत्{नपुं;1;एक}/वचन{नपुं;2;एक}	वचन{नपुं;2;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N2	तत्-वचन					
3.1	वचनं		वचनं	वचन{नपुं;2;एक}	वचन{नपुं;2;एक}	कर्म,4.1	कर्म,4.1	N2						
4.1	श्रुत्वा		श्रुत्वा	श्रु1{अव्य;क्त्वा;श्रु;:भ्वादिः}	श्रु1{अव्य;क्त्वा;श्रु;:भ्वादिः}	पूर्वकालः,10.1	पूर्वकालः,10.1	KP	सुन_कर					
5.1	सर्वे		सर्वे	सर्व{सर्वनाम;पुं;1;बहु}/सर्व{सर्वनाम;नपुं;1;द्वि}/सर्व{सर्वनाम;नपुं;2;द्वि}/सर्वा{सर्वनाम;स्त्री;1;द्वि}/सर्वा{सर्वनाम;स्त्री;2;द्वि}	सर्व{सर्वनाम;पुं;1;बहु}	विशेषणम्,7.2	विशेषणम्,7.2	N1	सब_					
6.1	ते		ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	तद्{सर्वनाम;पुं;1;बहु}	विशेषणम्,7.2	विशेषणम्,7.2	N1	उन्होंने					
7.1	कुरु-		कुरु-जाङ्गलाः	कुरु	कुरु	समासः,7.2	समासः,7.2	CP	कुरु-जाङ्गल					
7.2	जाङ्गलाः			जाङ्गल{पुं;1;बहु}	जाङ्गल{पुं;1;बहु}	कर्ता,10.1	कर्ता,10.1	N1						
8.1	बाष्पसन्दिग्धया		बाष्पसन्दिग्धया	बाष्पसन्दिग्धा{स्त्री;3;एक}	बाष्पसन्दिग्धा{स्त्री;3;एक}	करणम्,10.1	करणम्,10.1	N3	बाष्पसन्दिग्धा_से					
9.1	वाचा		वाचा	वाच्{स्त्री;3;एक}/वाचा{स्त्री;1;एक}	वाच्{स्त्री;3;एक}	करणम्,10.1	करणम्,10.1	N3	वाणी_से					
10.1	रुरुदुः		रुरुदुः	रुद्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;रुदिँर्;:अदादिः}	रुद्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;रुदिँर्;:अदादिः}	अभिहित_कर्ता,7.2;सकर्मक	अभिहित_कर्ता,7.2;सकर्मक	KP	रुद्1_प्प्_स्क्या					
11.1	भरतर्षभ		भरतर्षभ	भरतर्षभ{पुं;8;एक}	भरतर्षभ{पुं;8;एक}	सम्बोध्यः,10.1	सम्बोध्यः,10.1	N8	भरतर्षभ					
12.1	.	.	-	-	-	-	-	FS	-	-				
