index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	त्वम्	1	त्वम्	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,9.1	कर्ता,9.1	N1	तुम					
2.1	च	2	चापि	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,7.1	समुच्चय_द्योतकः,7.1	NA	भी					
3.1	अपि			अपि{अव्य}	अपि{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	भी					
4.1	फल-	3	फल-भाक्	फल	फल	समासः,4.2	समासः,4.2	CP	फल-भाज्					
4.2	भाक्			भाज्{पुं;1;एक}/भाज्{नपुं;1;एक}/भाज्{नपुं;2;एक}/भाज्{पुं;8;एक}/भाज्{नपुं;8;एक}	भाज्{पुं;1;एक}	समुच्चितः,7.1	समुच्चितः,7.1	N1						
5.1	तात		तात	तात{पुं;8;एक}	तात{पुं;8;एक}	सम्बोध्यः,9.1	सम्बोध्यः,9.1	N8	पिता					
6.1	तपसः	4	तपसः	तपस्{पुं;1;बहु}/तपस्{पुं;2;बहु}/तपस्{पुं;5;एक}/तपस्{पुं;6;एक}/तपस्{नपुं;5;एक}/तपस्{नपुं;6;एक}/तपस{पुं;1;एक}	तपस्{नपुं;6;एक}	षष्ठीसम्बन्धः,4.2	षष्ठीसम्बन्धः,4.2	N6	तप_का					
7.1	पार्थिवः	5	पार्थिवो	पार्थिव{पुं;1;एक}	पार्थिव{पुं;1;एक}	विधेय_विशेषणम्,1.1	विधेय_विशेषणम्,1.1	N1						
8.1	हि	6	ह्यसि	हि{अव्य}	हि{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	हि					
9.1	असि			अस्2{कर्तरि;लट्;म;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;लट्;म;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,1.1	अभिहित_कर्ता,1.1	KP	हो					
10.1	फल-		फल-भाजो	फल	फल	समासः,10.2	समासः,10.2	CP	फल-भा					
10.2	भाजः			भाज्{पुं;1;एक}	भाज{पुं;1;एक}	विधेय_विशेषणम्,12.1	विधेय_विशेषणम्,12.1	N1						
11.1	हि		हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,10.2	सम्बन्धः,10.2	NA	हि					
12.1	राजानः		राजानः	राजन्{पुं;1;बहु}/राजन्{पुं;8;बहु}	राजन्{पुं;1;बहु}	कर्ता,16.1	कर्ता,16.1	N1	राजा					
13.1	कल्याणस्य		कल्याणस्य	कल्याण{नपुं;6;एक}	कल्याण{नपुं;6;एक}	अन्यतरः,14.1	अन्यतरः,14.1	N6	कल्याण_का					
14.1	इतरस्य		इतरस्य	इतर{पुं;6;एक}/इतर{नपुं;6;एक}/इतर{सर्वनाम;पुं;6;एक}/इतर{सर्वनाम;नपुं;6;एक}	इतर{पुं;6;एक}	षष्ठीसम्बन्धः,10.2	षष्ठीसम्बन्धः,10.2	N6	इतर_के					
15.1	वा		वा	वा{अव्य}	वा{अव्य}	अन्यतर_द्योतकः,14.1	अन्यतर_द्योतकः,14.1	NA	वा					
16.1	(सन्ति)				अस्{कर्तरि,लट्,प्र,बहु,परस्मैपदी{धातुः असँ},अदादिः}	अभिहित_कर्ता,12.1	अभिहित_कर्ता,12.1	KP						
17.1	.	.	-	-	-	-	-	FS	-					
