index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	prayoga	sarvanAma	Name-classification
													
1.1	तथा	4	तथा	तथा{अव्य}	तथा{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1	NA	वैसे				
2.1	विचित्रवीर्यः	5	विचित्रवीर्यः	विचित्रवीर्य{पुं;1;एक}	विचित्रवीर्य{पुं;1;एक}	कर्ता,6.1	कर्ता,6.1	N1	विचित्रवीर्य				
3.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	भी				
4.1	भीष्मेण	6	भीष्मेण	भीष्म{पुं;3;एक}/भीष्म{नपुं;3;एक}	भीष्म{नपुं;3;एक}	कर्ता,5.1	कर्ता,5.1	N3	भीष्म_के_द्वारा				
5.1	परिपालितः	7	परिपालितः	परिपालित{पुं;1;एक(पाल्1;क्त;पालँ;:चुरादिः)}	परिपालित{पुं;1;एक(पाल्1;क्त;पालँ;:चुरादिः)}	विशेषणम्,2.1	विशेषणम्,2.1	N1	परि_पाल्1या_हुआ				
6.1	पालयामास	8	पालयामास	पाल्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;पालँ;:चुरादिः}/पाल्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;पालँ;:चुरादिः}/पाल्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;पालँ;:चुरादिः}/पा2{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;म;बहु;आत्मनेपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;प्र;एक;परस्मैपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;प्र;एक;आत्मनेपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;उ;एक;आत्मनेपदी;पा;:अदादिः}/पल्1{णिजन्त;कर्तरि;लिट्;प्र;एक;परस्मैपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;प्र;एक;आत्मनेपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;उ;एक;आत्मनेपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;म;बहु;आत्मनेपदी;पलँ;:भ्वादिः}	पाल्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;पालँ;:चुरादिः}	वाक्यकर्म,12.1	वाक्यकर्म,12.1	KP	पालन_किया				
7.1	वः		वस्तातो	युष्मद्{सर्वनाम;2;बहु}/युष्मद्{सर्वनाम;4;बहु}/युष्मद्{सर्वनाम;6;बहु}	युष्मद्{सर्वनाम;6;बहु}	षष्ठीसम्बन्धः,8.1	षष्ठीसम्बन्धः,8.1	N6	आपका				
8.1	तातः		तातः	तात{पुं;1;एक}	तात{पुं;1;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N1	पिता				
9.1	विदितार्थः	9	विदितार्थः	विदित{पुं;2;एक(विद्1;क्त;विदँ;:अदादिः)}/विदित{नपुं;1;एक(विद्1;क्त;विदँ;:अदादिः)}/विदित{नपुं;2;एक(विद्1;क्त;विदँ;:अदादिः)}	विदित{नपुं;1;एक(विद्1;क्त;विदँ;:अदादिः)}	विशेषणम्,2.1	विशेषणम्,2.1	N1	ज्ञात				
10.1	न	10	न	न{अव्य}	न{अव्य}	प्रतिषेधः,12.1	प्रतिषेधः,12.1	NA	नहीं				
11.1	संशयः	11	संशयः	संशय{पुं;1;एक}	संशय{पुं;1;एक}	कर्ता,12.1	कर्ता,12.1	N1	शंका				
12.1	(अस्ति) 				अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी{धातुः;असँ} भ्वादिः}	अभिहित_कर्ता,11.1	अभिहित_कर्ता,11.1	KP					
13.1	(इति)				इति{अव्य}	वक्यकर्मध्योतकः,12	वक्यकर्मध्योतकः,12	NA					
14.1	.	.	-	-	-	-	-	FS	-				
