index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	इमौ	1	इमौ	इदम्{सर्वनाम;पुं;1;द्वि}/इदम्{सर्वनाम;पुं;2;द्वि}	इदम्{सर्वनाम;पुं;1;द्वि}	विशेषणम्,4.1	विशेषणम्,4.1	N1	इन					
2.1	तौ	2	तौ	तद्{सर्वनाम;पुं;1;द्वि}/तद्{सर्वनाम;पुं;2;द्वि}	तद्{सर्वनाम;पुं;1;द्वि}	विशेषणम्,4.1;नित्यसम्बन्धः,7.1	विशेषणम्,4.1;नित्यसम्बन्धः,7.1	N1	उनको				नित्य_सम्बन्धः,11	
3.1	परिघ-		परिघ-प्रख्यौ	परिघ	परिघ	T6,3.2	T6,3.2	CP						
3.2	प्रख्यौ			प्रख्य{पुं;1;द्वि}	प्रख्य{पुं;1;द्वि}	विशेषणम्,4.1	विशेषणम्,4.1	N1	.					
4.1	भुजौ	4	भुजौ	भुज{पुं;8;द्वि}/भुज{पुं;1;द्वि}/भुज{पुं;2;द्वि}/भुज{पुं;8;द्वि}	भुज{पुं;1;द्वि}	कर्ता,13.1	कर्ता,13.1	N1	भु					
5.1	मम	5	मम	अस्मद्{सर्वनाम;6;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,4.1	N6	मेरे					
6.1	दुरासदौ	6	दुरासदौ	दुरासद{पुं;1;द्वि}/दुरासद{पुं;2;द्वि}	दुरासद{पुं;1;द्वि}	विशेषणम्,4.1	विशेषणम्,4.1	N1	दुर्गम					
7.1	ययोः		ययोः	यद्{सर्वनाम,पुं,6,द्वि}	यद्{सर्वनाम,पुं,6,द्वि}	षष्ठीसम्बन्धः,8.1	षष्ठीसम्बन्धः,8.1	N6					नित्य_सम्बन्धः,4	
8.1	अन्तरम्	7	अन्तरम्	अन्तर{पुं;2;एक}/अन्तर{नपुं;1;एक}/अन्तर{नपुं;2;एक}/अन्तर{सर्वनाम;पुं;2;एक}/अन्तर{सर्वनाम;नपुं;1;एक}/अन्तर{सर्वनाम;नपुं;2;एक}	अन्तर{सर्वनाम;नपुं;2;एक}	अधिकरणम्,9.1	अधिकरणम्,9.1	N2	अन्तर_को					
9.1	आसाद्य		आसाद्य	आङ्_षद्1{अव्य;णिजन्त;ल्यप्;षदॢ;:भ्वादिः}	आङ्_षद्1{अव्य;णिजन्त;ल्यप्;षदॢ;:भ्वादिः}	पूर्वकालः,12.1	पूर्वकालः,12.1	NA						
10.1	धार्तराष्ट्राः	8	धार्तराष्ट्राः	धार्तराष्ट्र{पुं;1;बहु}/धार्तराष्ट्र{पुं;8;बहु}	धार्तराष्ट्र{पुं;1;बहु}	कर्ता,12.1	कर्ता,12.1	N1	धृतराष्ट्र_का_पुत्र					
11.1	क्षयम्	9	क्षयम्	क्षय{पुं;2;एक}/क्षय{नपुं;1;एक}/क्षय{नपुं;2;एक}	क्षय{नपुं;1;एक}	कर्म,12.1	कर्म,12.1	N1	क्षय					
12.1	गताः	10	गताः	गत{पुं;1;बहु(गम्1;क्त;गमॢँ;:भ्वादिः)}/गता{स्त्री;1;बहु(गम्1;क्त;गमॢँ;:भ्वादिः)}/गता{स्त्री;2;बहु(गम्1;क्त;गमॢँ;:भ्वादिः)}	गत{पुं;1;बहु(गम्1;क्त;गमॢँ;:भ्वादिः)}	अभिहित_कर्म,11.1	अभिहित_कर्म,11.1	N1	गये_हुए					
13.1	(स्तः)				अस्{कर्तरि,लट्,प्र,द्वि,परस्मैपदी{धातुः असँ} अदादिः}	अभिहित_कर्ता,4.1	अभिहित_कर्ता,4.1	KP						
14.1	.	.	-	-	-	-	-	FS	-					
