index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	सः		स	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	विशेषणम्,15.1	विशेषणम्,15.1	N1	उस					
2.1	राजन्		राजन्	राजन्{पुं;8;एक}/राजत्{पुं;1;एक(राज्1;शतृ_लट्;राजृँ;:भ्वादिः)}	राजन्{पुं;8;एक}	सम्बोध्यः,7.1	सम्बोध्यः,7.1	N8	चमकते_हुए					
3.1	मानसम्		मानसम्	मानस{पुं;2;एक}/मानस{नपुं;1;एक}/मानस{नपुं;2;एक}	मानस{नपुं;2;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N2	मानस					
4.1	दुःखम्		दुःखम्	दुःख{नपुं;1;एक}/दुःख{नपुं;2;एक}	दुःख{नपुं;2;एक}	कर्म,5.1	कर्म,5.1	N2	दुःख					
5.1	अपनीय		अपनीय	णी1{अव्य;ल्यप्;णीञ्;:भ्वादिः}	अप_णी1{अव्य;ल्यप्;णीञ्;:भ्वादिः}	पूर्वकालः,7.1	पूर्वकालः,7.1	NA	ण्थ्_कर					
6.1	युधिष्ठिरात्		युधिष्ठिरात्	युधिष्ठिर{पुं;5;एक}	युधिष्ठिर{पुं;5;एक}	हेतुः,5.1	हेतुः,5.1	N5	युधिष्ठिर_से					
7.1	कुरु		कुरु	कृ3{कर्तरि;लोट्;म;एक;परस्मैपदी;डुकृञ्;:तनादिः}	कृ3{कर्तरि;लोट्;म;एक;परस्मैपदी;डुकृञ्;:तनादिः}	अभिहित_कर्ता,15.1	अभिहित_कर्ता,15.1	KP	करो					
8.1	कार्याणि		कार्याणि	कार्य{नपुं;8;बहु}/कार्य{नपुं;1;बहु}/कार्य{नपुं;2;बहु}	कार्य{नपुं;2;बहु}	कर्म,7.1	कर्म,7.1	N2	कार्यों_को					
9.1	धर्म्याणि		धर्म्याणि	धर्म्य{नपुं;1;बहु}/धर्म्य{नपुं;2;बहु}/धर्म्य{नपुं;8;बहु}	धर्म्य{नपुं;2;बहु}	विशेषणम्,8.1	विशेषणम्,8.1	N2	धर्म्य					
10.1	नमः		नमः	नमः{अव्य}/नमस्{पुं;8;एक}/नमस्{नपुं;1;एक}/नमस्{नपुं;2;एक}/नमस्{नपुं;8;एक}	नमस्{नपुं;2;एक}	कर्म,14.1	कर्म,14.1	N2	नमस्कार					
11.1	ते		ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	युष्मद्{सर्वनाम;4;एक}	सम्प्रदानम्,7.1	सम्प्रदानम्,7.1	N4	तुम्हारे_लिये					
12.1	भरतर्षभ		भरतर्षभ	भरतर्षभ{पुं;8;एक}	भरतर्षभ{पुं;8;एक}	सम्बोध्यः,7.1	सम्बोध्यः,7.1	N8	भरतर्षभ					
13.1	(वयम्)			अस्मद्{सर्वनाम;1;बहु}	अस्मद्{सर्वनाम;1;बहु}	कर्ता,14.1	कर्ता,14.1	N1	हम					
14.1	(कुर्वन्ति)			कृ3{कर्तरि;लट्;प्र;बहु;परस्मैपदी;डुकृञ्;:तनादिः}/कुर्वत्{नपुं;1;बहु(कृ3;शतृ_लट्;डुकृञ्;:तनादिः)}/कुर्वत्{नपुं;2;बहु(कृ3;शतृ_लट्;डुकृञ्;:तनादिः)}	कृ3{कर्तरि;लट्;प्र;बहु;परस्मैपदी;डुकृञ्;:तनादिः}	अभिहित_कर्ता,13.1	अभिहित_कर्ता,13.1	KP	करते_हैं					
15.1	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	आप					
16.1	.	.	-	-	-	-	-	FS	-					
