index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	Name-classification
													
1.1	अथ	1	अथ	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	ऐसी स्थिति में	In such situation			
2.1	उपपत्त्या		उपपत्त्या	उपपत्ति{स्त्री;3;एक}	उपपत्ति{स्त्री;3;एक}	करणम्,9.1	करणम्,9.1	N3	युक्ति_से	by intellegent selection			
3.1	(नृपतिः)			नृपति{पुं;1;एक}	नृपति{पुं;1;एक}	कर्ता,9.1	कर्ता,9.1	N1	राजा	King			
4.1	शकटम्	2	शकटम्	शकट{पुं;2;एक}/शकट{नपुं;1;एक}/शकट{नपुं;2;एक}	शकट{नपुं;2;एक}	समुच्चितः,6.1	समुच्चितः,6.1	N2	गाडी	a cart , waggon , car , carriage			
5.1	पद्मम्	3	पद्मं	पद्म{नपुं;1;एक}/पद्म{नपुं;2;एक}/पद्म{संख्येयम्;1;एक}/पद्म{संख्येयम्;2;एक}	पद्म{नपुं;2;एक}	समुच्चितः,6.1	समुच्चितः,6.1	N2	पद्म / कमल 	a lotus			
6.1	वज्रम्	4	वज्रम्	वज्र{पुं;2;एक}/वज्र{नपुं;1;एक}/वज्र{नपुं;2;एक}	वज्र{नपुं;2;एक}	सञ्ज्ञा,9.1	सञ्ज्ञा,9.1	N2	वज्र	thunderbolt 			
7.1	च	5	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,6.1	समुच्चय_द्योतकः,6.1	NA	और	and			
8.1	(व्यूहम्)			व्यूह{पुं;2;एक}/व्यूह{पुं;2;एक(ऊह्1;घञ्;ऊहँ;:भ्वादिः)}	व्यूह{पुं;2;एक(ऊह्1;घञ्;ऊहँ;:भ्वादिः)}	कर्म,9.1	कर्म,9.1	N2	सैनिक_विन्यास	military array			
8.2	नाम					सञ्ज्ञा_द्योतक,6.1	सञ्ज्ञा_द्योतक,6.1	NA					
9.1	(कुर्यात्)			कृ1{कर्तरि;लट्;प्र;एक;परस्मैपदी;कृञ्;:भ्वादिः}/कृ2{कर्तरि;लट्;प्र;एक;परस्मैपदी;कृञ्;:स्वादिः}/कृव्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;कृविँ;:भ्वादिः}	कृ3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;डुकृञ्;: तनादिः}	अभिहित_कर्ता,3.1;सकर्मक	अभिहित_कर्ता,3.1;सकर्मक	KP	करता_है	arrange			
10.1	भारत	6	भारत	भारत{पुं;8;एक}	भारत{पुं;8;एक}	सम्बोध्यः,9.1	सम्बोध्यः,9.1	N8	भारत	Bharat			
11.1	उशना	7	उशना	उशनस्{पुं;1;एक}	उशनस्{पुं;1;एक}	कर्ता,12.1	कर्ता,12.1	N1	उशनस्: भृगु का पुत्र, राक्षसों के गुरु शुक्राचार्य	ancient sage, the teacher of the Asuras Shukracharya			
12.1	वेद	8	वेद	विद्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदँ;:अदादिः}/विद्1{कर्तरि;लट्;उ;एक;परस्मैपदी;विदँ;:अदादिः}	विद्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदँ;:अदादिः}	अभिहित_कर्ता,11;सकर्मक	अभिहित_कर्ता,11;सकर्मक	KP	समझा	known			
13.1	यत्	9	यत्	यद्{सर्वनाम;नपुं;2;एक}/यद्{सर्वनाम;नपुं;1;एक}	यद्{सर्वनाम;नपुं;2;एक}	विशेषणम्,14.1	विशेषणम्,14.1	N2	जिस	which			
14.1	शास्त्रम्		शास्त्रम्	शास्त्र{नपुं;2;एक}/शास्त्र{नपुं;1;एक}	शास्त्र{नपुं;2;एक}	कर्म,12.1	कर्म,12.1	N2	शास्त्र_को	science			
15.1	तत्र	10	तत्र	तत्र{अव्य}	तत्र{अव्य}	देशाधिकरणम्,17.1	देशाधिकरणम्,17.1	NA	वहाँ	there			
16.1	एतत्		एतत्	एतद्{सर्वनाम;नपुं;2;एक}/एतद्{सर्वनाम;नपुं;1;एक}	एतद्{सर्वनाम;नपुं;2;एक}	कर्म,17.1	कर्म,17.1	N2	यह	this			
17.1	विहितम्		विहितम्	वि_धा1{क्त;डुधाञ्;:जुहोत्यादिःवि_हित;नपुं;2;एक}/वि_धा1{क्त;डुधाञ्;:जुहोत्यादिःवि_हित;नपुं;1;एक}/वि_धा1{क्त;डुधाञ्;:जुहोत्यादिःवि_हित;पुं;2;एक}	वि_धा1{क्त;डुधाञ्;:जुहोत्यादिःवि_हित;नपुं;2;एक}	अभिहित_कर्म,16.1;सकर्मक	अभिहित_कर्म,16.1;सकर्मक	KP	क्रमबद्ध किया_हुआ	is stated			
18.1	विभो	11	विभो	विभू{पुं;8;एक}	विभू{पुं;8;एक}	सम्बोध्यः,12.1	सम्बोध्यः,12.1	N8	शक्तिशाली	mighty 			
19.1	.	.	-	-	-	-	-	FS	-	-			
