index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.2	सञ्जयम्	1	सञ्जयम्	सञ्जय{पुं;2;एक}	सञ्जय{पुं;2;एक}	समुच्चितः,9.2	समुच्चितः,9.2	N2	संजय_को					
2.1	च	2	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1.2	समुच्चय_द्योतकः,1.2	NA	और					
3.1	महामात्रम्	3	महामात्रम्	महामात्र{पुं;2;एक}	महामात्र{पुं;2;एक}	विशेषणम्,1.2	विशेषणम्,1.2	N2	राज्य_का_बड्ऽआ_अधिकारी_को					
4.1	कृपम्	4	कृपम्	कृप{पुं;2;एक}	कृप{पुं;2;एक}	समुच्चितः,9.2	समुच्चितः,9.2	N2	कृपाचार्य_को					
5.1	च	5	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,9.2	समुच्चय_द्योतकः,9.2	NA	भी					
5.2	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	भी					
6.1	महारथम्	6	महारथम्	महारथ{पुं;2;एक}	महारथ{पुं;2;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N2	महारथ_को					
7.1	अनुनेतुम्	7	अनुनेतुम्	णी1{अव्य;तुमुन्;णीञ्;:भ्वादिः}	अनु_णी1{अव्य;तुमुन्;णीञ्;:भ्वादिः}	कर्म,7.3	कर्म,7.3	KP	अनु_णी1नेँकी					
7.2	इह		इह	इह{अव्य}	इह{अव्य}	देशाधिकरणम्,7.1	देशाधिकरणम्,7.1	NA	यहाँ					
7.3	इच्छामि		इच्छामि	इष्2{कर्तरि;लट्;उ;एक;परस्मैपदी;इषुँ;:तुदादिः}	इष्2{कर्तरि;लट्;उ;एक;परस्मैपदी;इषुँ;:तुदादिः}	अभिहित_कर्ता,13.1;वाक्यकर्म,12.1	अभिहित_कर्ता,13.1;वाक्यकर्म,12.1	KP	इच्छा_करता_हूँ					
8.1	भवद्भिः	8	भवद्भिः	भवत्{सर्वनाम;पुं;3;बहु}/भवत्{पुं;3;बहु}	भवत्{पुं;3;बहु}	कर्ता,7.1	कर्ता,7.1	N3	आपसे					
9.1	पृथिवी-	9	पृथिवी-पतिम्	पृथिवी	पृथिवी	T6,9.2	T6,9.2	CP						
9.2	पतिम्			पति{पुं;2;एक}	पति{पुं;2;एक}	कर्म,7.1	कर्म,7.1	N2	पृथ्वी-पति					
10.1	(इति)			इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,7.3	वाक्यकर्म_द्योतकः,7.3	NA	ऐसा					
11.1	धृतराष्ट्रः		धृतराष्ट्रः	धृतराष्ट्र{पुं;1;एक}	धृतराष्ट्र{पुं;1;एक}	कर्ता,12.1	कर्ता,12.1	N1						
12.1	(उवाच)			वच्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;वचँ;:अदादिः}/वच्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;वचँ;:अदादिः}	वच्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;वचँ;:अदादिः}	अभिहित_कर्ता,11.1;सकर्मक	अभिहित_कर्ता,11.1;सकर्मक	KP	बोला					
13.1	अहम्					कर्ता,12.1	कर्ता,12.1	FS						
14.1	.	.	-	-	-	-			-					
