index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	तम्	1	तम्	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N2	उसको					
2.1	एवम्		एवम्	एवम्{अव्य}	एवम्{अव्य}	क्रियाविशेषणम्,3.1	क्रियाविशेषणम्,3.1	NA	ऐसा					
3.1	वादिनम्		वादिनम्	वादिन्{पुं;2;एक}	वादिन्{पुं;2;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N2	वादी_को					
4.1	राजा	2	राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N1	राजा					
5.1	कुन्ती-	3	कुन्ती-पुत्रः	कुन्ती	कुन्ती	समासः,5.2	समासः,5.2	CP	कुन्ती-पुत्र					
5.2	पुत्रः			पुत्र{पुं;1;एक}	पुत्र{पुं;1;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N1						
6.1	युधिष्ठिरः	4	युधिष्ठिरः	युधिष्ठिर{पुं;1;एक}	युधिष्ठिर{पुं;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	युधिष्ठिर					
7.1	उवाच	5	उवाच	वच्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;वचँ;अदादिः}/विवच्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;वचँ;अदादिः}	वच्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;वचँ;अदादिः}	अभिहित_कर्ता,6.1	अभिहित_कर्ता,6.1	KP	बोला					
8.1	भ्रातरं	6	भ्रातरं	भ्रातृ{पुं;2;एक}	भ्रातृ{पुं;2;एक}	कर्म,13.1	कर्म,13.1	N2	भाई_को					
9.1	धीमान्	7	धीमान्	धीमत्{पुं;1;एक}	धीमत्{पुं;1;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N1	बुद्धिमान्					
10.1	जोषम्		जोषम्	जोषम्{अव्य}/जोष{पुं;2;एक}	जोष{पुं;2;एक}	कर्म,11.1	कर्म,11.1	N2	इच्छानुसार					
11.1	अस्व		अस्व	-	-	वाक्यकर्म,7.1	वाक्यकर्म,7.1	KP	अस्व					
12.1	इति		इति	इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,7.1	वाक्यकर्म_द्योतकः,7.1	NA	ऐसा					
13.1	भर्त्सयन्	8	भर्त्सयन्	भर्त्सयत्{पुं;1;एक(भर्त्स्1;शतृ_लट्;भर्त्सँ;चुरादिः)}	भर्त्सयत्{पुं;1;एक(भर्त्स्1;शतृ_लट्;भर्त्सँ;चुरादिः)}	वर्तमानसमानकालः,7.1	वर्तमानसमानकालः,7.1	N1	धिक्कारता_हुआ					
14.1	.	.	-	-	-	-	-	FS	-					
