index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	ततः	1	ततः	ततः{अव्य}	ततः{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	वहाँ_से					
2.1	पञ्चदशे	2	पञ्चदशे	पञ्चदश{नपुं;1;द्वि}/पञ्चदश{नपुं;2;द्वि}/पञ्चदश{नपुं;8;द्वि}/पञ्चदश{पुं;7;एक}/पञ्चदश{नपुं;7;एक}	पञ्चदश{नपुं;7;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N7	पन्द्रह					
3.1	वर्षे	3	वर्षे	वर्षा{स्त्री;1;द्वि}/वर्षा{स्त्री;2;द्वि}/वर्ष्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;वर्षँ;:भ्वादिः}/वर्षा{स्त्री;8;एक}/वर्षा{स्त्री;8;द्वि}/वर्ष{पुं;7;एक}	वर्ष{पुं;7;एक}	कर्म,4.1	कर्म,4.1	N7	वर्ष_में					
4.1	समतीते	4	समतीते	समतीत{नपुं;1;द्वि}/समतीत{नपुं;2;द्वि}/समतीता{स्त्री;1;द्वि}/समतीता{स्त्री;2;द्वि}/समतीत{नपुं;8;द्वि}/समतीत{पुं;7;एक}/समतीत{नपुं;7;एक}	समतीत{नपुं;7;एक}	भावलक्षणसप्तमी_अनन्तरकालः,9.1	भावलक्षणसप्तमी_अनन्तरकालः,9.1	N7	बीता_हुए_में					
5.1	नराधिपः	5	नराधिपः	नराधिप{पुं;1;एक}	नराधिप{पुं;1;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N1	नराधिप1					
6.1	राजा	6	राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,9.1	कर्ता,9.1	N1	राजा					
7.1	निर्वेदम्	7	निर्वेदमापेदे	निर्वेद{पुं;2;एक}	निर्वेद{पुं;2;एक}	कर्म,9.1	कर्म,9.1	N2	अवसाद					
8.1	भीम-	8	भीम-वाग्-बाण-पीडितः	भीम	भीम	T6,8.2	T6,8.2	CP	भीम-वाग्बाण-पीडा_से_युक्त					
8.2	वाग्-			वाग्	वाग्	K5,8.3	K5,8.3	CP						
8.3	बाण			बाण	बाण	T3,8.4	T3,8.4	CP						
8.4	पीडितः			पीडित{पुं;1;एक(भीम-वाग्बाण-पीड्1;क्त;पीडँ;:चुरादिः)}	पीडित{पुं;1;एक(भीम-वाग्बाण-पीड्1;क्त;पीडँ;:चुरादिः)}	विशेषणम्,5.1	विशेषणम्,5.1	N1						
9.1	आपेदे			आङ्_पद्1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;पदँ;:दिवादिः}/आङ्_पद्1{कर्तरि;लिट्;उ;एक;आत्मनेपदी;पदँ;:दिवादिः}/आङ्_पद्1{कर्मणि;लिट्;प्र;एक;आत्मनेपदी;पदँ;:दिवादिः}/आङ्_पद्1{कर्मणि;लिट्;उ;एक;आत्मनेपदी;पदँ;:दिवादिः}	आङ्_पद्1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;पदँ;:दिवादिः}	अभिहित_कर्ता,5.1;सकर्मक	अभिहित_कर्ता,5.1;सकर्मक	KP	प्राप्त_हुआ					
10.1	.	.	-	-	-	-	-	FS	-					
