index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	samAsa	prayoga	sarvanAma	Name-classification
													
1.1	प्रकृतीनां	1	प्रकृतीनां	प्रकृति{स्त्री;6;बहु}	प्रकृति{स्त्री;6;बहु}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,4.1	N6	प्रकृति_का				
2.1	च		च	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,4.1	समुच्चयद्योतकः,4.1	NA					
3.1	कौन्तेय	2	कौन्तेय	कौन्तेय{पुं;8;एक}	कौन्तेय{नपुं;8;एक}	सम्बोध्यः,6.1	सम्बोध्यः,6.1	N8	च-कौन्तेय				
4.1	राजा	3	राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,6.1	कर्ता,6.1	N1	राजा				
5.1	दीनां	4	दीनां	दीना{स्त्री;2;एक(दी1;क्त;दीङ्;:दिवादिः)}	दीना{स्त्री;2;एक(दी1;क्त;दीङ्;:दिवादिः)}	कर्म,6.1	कर्म,6.1	N2	दीन				
6.1	विभावयेत्	5	वि-भावयेत्	वि-भुव्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भुवोँ;:चुरादिः}/भू1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भू;:भ्वादिः}/भू2{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भू;:चुरादिः}	वि-भुव्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भुवोँ;:चुरादिः}	अभिहित_कर्ता,3.1;सकर्मक	अभिहित_कर्ता,3.1;सकर्मक	KP	चिन्तन_करे				
7.1	.	.	-	-	-	-	-	FS	-				
