index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	शत्रुहन्	10	शत्रुहन्	शत्रुहन्{पुं;8;एक}/हन्{नपुं;8;एक}	शत्रुहन्{पुं;8;एक}	सम्बोध्यः,11	सम्बोध्यः,11	N8	शत्रु-हन्					
2	विदुरः	5	विदुरस्तथा	विदुर{पुं;1;एक}	विदुर{पुं;1;एक}	कर्ता,11	कर्ता,11	N1	बुद्धिमान					
3	तथा			तथा{अव्य}	तथा{अव्य}	सम्बन्धः,2	सम्बन्धः,2	NA	वैसे					
4	गान्धारी	4	गान्धारी	गान्धारी{स्त्री;1;एक}/गान्धारि{पुं;1;द्वि}/गान्धारि{पुं;2;द्वि}/गान्धारि{पुं;8;द्वि}	गान्धारी{स्त्री;1;एक}	समुच्चितः,2	समुच्चितः,2	N1	गान्धारी					
5	अजातशत्रोः	7	चाजातशत्रोर्न	अजातशत्रु{पुं;5;एक}/अजातशत्रु{पुं;6;एक}	अजातशत्रु{पुं;6;एक}	विशेषणम्,6	विशेषणम्,6	N5	अजातशत्रु_से					
6	नरेन्द्रस्य	3	नरेन्द्रस्य	नरेन्द्र{पुं;6;एक}	नरेन्द्र{पुं;6;एक}	षष्ठीसम्बन्धः,10	षष्ठीसम्बन्धः,10	N6	नरेन्द्र_का					
7	च			च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,10समुच्चय_द्योतकः,10	समुच्चय_द्योतकः,10	NA	और					
8	धृत्या	1	धृत्या	धृति{स्त्री;3;एक}	धृति{स्त्री;3;एक}	समुच्चितः,10	समुच्चितः,10	N3	लेना_से					
9	तुष्टः	2	तुष्टो	तुष्{अव्य;तसिल्}/तुष्ट{पुं;1;एक(तुष्1;क्त;तुषँ;:दिवादिः)}	तुष्ट{पुं;1;एक(तुष्1;क्त;तुषँ;:दिवादिः)}	विधेय_विशेषणम्,11	विधेय_विशेषणम्,11	N1						
10	शौचेन	6	शौचेन	शौच{नपुं;3;एक}	शौच{नपुं;3;एक}	करणम्,9	करणम्,9	N3	पवित्रता_से					
11	(आसीत्)			अस्;कर्तरि;लुङ्;प्र;एक;परस्मैपदी{धातुः;असँ};भ्वादिः	अस्;कर्तरि;लुङ्;प्र;एक;परस्मैपदी{धातुः;असँ};भ्वादिः	अभिहित_कर्ता,2	अभिहित_कर्ता,2	KP						
12	.	.	-	-	-	-	-	FS	-					
