index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	सदा	1	सदा	सदा{अव्य}	सदा{अव्य}	कालाधिकरणम्,3.1	कालाधिकरणम्,3.1	NA	हमेशा					
2.1	हि	2	हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	हि					
3.1	गत्वा	3	गत्वा	गम्1{अव्य;क्त्वा;गमॢँ;:भ्वादिः}	गम्1{अव्य;क्त्वा;गमॢँ;:भ्वादिः}	पूर्वकालः,6.1	पूर्वकालः,6.1	NA						
4.1	ते	4	ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	तद्{सर्वनाम;पुं;1;बहु}	विशेषणम्,5.1	विशेषणम्,5.1	N1	वे					
5.1	वीराः	5	वीराः	वीर{पुं;1;बहु}/वीरा{स्त्री;1;बहु}/वीरा{स्त्री;2;बहु}/वीर{पुं;8;बहु}/वीरा{स्त्री;8;बहु}	वीर{पुं;1;बहु}	कर्ता,6.1	कर्ता,6.1	N1	वीरें					
6.1	पर्युपासन्त	6	पर्युपासन्त	परि_उप_आस्1{कर्तरि;लङ्;प्र;बहु;आत्मनेपदी;आसँ;:अदादिः}	परि_उप_आस्1{कर्तरि;लङ्;प्र;बहु;आत्मनेपदी;आसँ;:अदादिः}	अभिहित_कर्ता,5.1;सकर्मक	अभिहित_कर्ता,5.1;सकर्मक	KP	भलीभाँति_अनुष्ठान_किये					
7.1	तं	7	तं	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N2						
8.1	नृपम्	8	नृपम्	नृप{पुं;2;एक}	नृप{पुं;2;एक}	कर्म,6.1	कर्म,6.1	N2	राजा_को					
9.1	पाद-	9	पाद-अभिवन्दनं	पाद	पाद	T6,9.2	T6,9.2	CP	पैर-अभिवन्दन					
9.2	अभिवन्दनं			अभिवन्दन{नपुं;1;एक}/अभिवन्दन{नपुं;2;एक}/अभिवन्दन{पुं;2;एक}	अभिवन्दन{नपुं;2;एक}	कर्म,10.1	कर्म,10.1	N2						
10.1	कृत्वा	10	कृत्वा	कृ2{अव्य;क्त्वा;कृञ्;:स्वादिः}/कृ3{अव्य;क्त्वा;डुकृञ्;:तनादिः}/कृ1{अव्य;क्त्वा;कृञ्;:भ्वादिः}	कृ2{अव्य;क्त्वा;कृञ्;:स्वादिः}	पूर्वकालः,6.1	पूर्वकालः,6.1	NA						
11.1	धर्मराजमते	11	धर्मराजमते	धर्मराजमत{पुं;7;एक}	धर्मराजमत{पुं;7;एक}	अधिकरणम्,12.1	अधिकरणम्,12.1	N7				*		
12.1	स्थिताः	12	स्थिताः	स्थित{पुं;1;बहु(ष्था1;क्त;ष्था;:भ्वादिः)}/स्थिता{स्त्री;1;बहु(ष्था1;क्त;ष्था;:भ्वादिः)}/स्थिता{स्त्री;2;बहु(ष्था1;क्त;ष्था;:भ्वादिः)}	स्थित{पुं;1;बहु(ष्था1;क्त;ष्था;:भ्वादिः)}	विशेषणम्,5.1	विशेषणम्,5.1	N1						
13.1	.	.	-	-	-	-	-	FS	-					
