index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	Name-classification
													
1.1	विदितम्	1	विदितम्	विदित{पुं;2;एक(विद्1;क्त;विदँ;:अदादिः)}/विदित{नपुं;1;एक(विद्1;क्त;विदँ;:अदादिः)}/विदित{नपुं;2;एक(विद्1;क्त;विदँ;:अदादिः)}	विदित{पुं;2;एक(विद्1;क्त;विदँ;:अदादिः)}	अभिहित_कर्म,3.1	अभिहित_कर्म,3.1	N2					
2.1	भवताम्	2	भवताम्	भवत्{सर्वनाम;पुं;6;बहु}/भू1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;भू;:भ्वादिः}/भवत्{पुं;6;बहु}	भवत्{सर्वनाम;पुं;6;बहु}	कर्ता,1.1	कर्ता,1.1	N6	आपका				
3.1	एतत्		एतत्	 	एतद्{सर्वनाम;नपुं;1;एक}	वाक्यकर्म,1.1;सम्बन्धः,6.1	वाक्यकर्म,1.1;सम्बन्धः,6.1	N1	यह				
4.1	यथा		यथा	यथा{अव्य}	यथा{अव्य}	क्रियाविशेषणम्,15.1	क्रियाविशेषणम्,15.1	NA	जैसे				
5.1	कुरु-	4	कुरु-क्षयः	कुरु	कुरु	Bs6,5.2	Bs6,5.2	CP					
5.2	क्षयः			क्षि{पुं;8;बहु}/क्षि{पुं;1;बहु}/क्षय{पुं;1;एक}	क्षय{पुं;1;एक}	विशेषणम्,15.1	विशेषणम्,15.1	N1					
6.1	(अभूत्)					अभिहित_कर्ता,5.2	अभिहित_कर्ता,5.2	KP					
7.1	मम	5	मम	अस्मद्{सर्वनाम;6;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,8.1	षष्ठीसम्बन्धः,8.1	N6	मेरा				
8.1	अपराधात्		अपराधात्	अपराध{पुं;5;एक}	अपराध{पुं;5;एक}	हेतुः,16.1	हेतुः,16.1	N5	अपराध_से				
9.1	तत्		तत्	तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तत्{सर्वनाम;नपुं;2;एक}	विशेषणम्,10.1;सम्बन्धः,3.1	विशेषणम्,10.1;सम्बन्धः,3.1	N2					
10.1	सर्वम्		सर्वम्	सर्व{सर्वनाम;पुं;2;एक}/सर्व{सर्वनाम;नपुं;1;एक}/सर्व{सर्वनाम;नपुं;2;एक}	सर्व{सर्वनाम;नपुं;2;एक}	कर्ता,16.1	कर्ता,16.1	N2	सब_को				
11.1	इति		इति	इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,12.1;सम्बन्धः,16.1	वाक्यकर्म_द्योतकः,12.1;सम्बन्धः,16.1	NA	ऐसा				
12.1	ज्ञेयम्	6	ज्ञेयम्	ज्ञेय{पुं;2;एक}/ज्ञेय{पुं;2;एक(ज्ञा1;यत्;ज्ञा;:भ्वादिः)}/ज्ञेय{नपुं;1;एक(ज्ञा1;यत्;ज्ञा;:भ्वादिः)}/ज्ञेय{नपुं;2;एक(ज्ञा1;यत्;ज्ञा;:भ्वादिः)}	ज्ञेय{नपुं;2;एक,(ज्ञा1;यत्;ज्ञा;:भ्वादिः)}	अभिहित_कर्म,11.1	अभिहित_कर्म,11.1	N2	ज्ञेय_को				
13.1	तु	7	तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,14.1	सम्बन्धः,14.1	NA	तो				
14.1	कौरवाः(कौरवैः)	8	कौरवाः	कौरव{पुं;1;बहु}/कौरव{पुं;8;बहु}	कौरव{पुं;3;बहु}	कर्ता,12.1	कर्ता,12.1	N3	कौरव				
15.1	वृत्तः	3	वृत्तः	वृत्{अव्य;तसिल्}/वृत्त{पुं;1;एक(वृत्1;क्त;वृतुँ;:भ्वादिः)}/वृत्त{पुं;1;एक(वृत्2;क्त;वृतुँ;:दिवादिः)}	वृत्त{पुं;1;एक(वृत्2;क्त;वृतुँ;:दिवादिः)}	विधेय_विशेषणम्,5.2	विधेय_विशेषणम्,5.2	N1					
16.1	(अभूत्)					अभिहित_कर्ता,10.1	अभिहित_कर्ता,10.1	KP					
17.1	.	.	-	-	-	-	-	FS	-				
