index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	भद्रम्		भद्रम्	भद्र{पुं;2;एक}/भद्र{नपुं;1;एक}/भद्र{नपुं;2;एक}	भद्र{पुं;1;एक}	कर्ता,14	कर्ता,14	N1	सुखद					
2	ते		ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	युष्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,1	षष्ठीसम्बन्धः,1	N6	वे					
3	यादवीमातृवाक्यम्		यादवीमातर्वाक्यं	यादवी-मा1{तृच्;मा;:अदादिः}/मे1{तृच्;मेङ्;:भ्वादिः}/मि1{तृच्;डुमिञ्;:स्वादिः}/मा2{तृच्;माङ्;:जुहोत्यादिः}/मा3{तृच्;माङ्;:दिवादिः}/मी2{तृच्;मीञ्;:क्र्यादिः-वाक्य;नपुं;1;एक}/वाक्य{नपुं;2;एक}/वाक्य{पुं;2;एक}	यादवी-मा3तृच्;माङ्;:दिवादिः}-वाक्य{पुं;2;एक}	कर्म,6	कर्म,6	N2						
4	च		चेदं	च{अव्य}	च{अव्य}	सम्बन्धः,3	सम्बन्धः,3	NA	और					
5	इदम्			इदम्{सर्वनाम;नपुं;1;एक}/इदम्{सर्वनाम;नपुं;2;एक}	इदम्{सर्वनाम;नपुं;2;एक}	विशेषणम्,3	विशेषणम्,3	N2	यह					
6	निबोध		निबोध	नि_बुध्2{कर्तरि;लोट्;म;एक;परस्मैपदी;बुधिँर्;:भ्वादिः}/नि_बुध्1{कर्तरि;लोट्;म;एक;परस्मैपदी;बुधँ;:भ्वादिः}	नि_बुध्2{कर्तरि;लोट्;म;एक;परस्मैपदी;बुधिँर्;:भ्वादिः}	अभिहित_कर्म,3;सकर्मक	अभिहित_कर्म,3;सकर्मक	KP	समझो					
7	मे		मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,3	षष्ठीसम्बन्धः,3	N6	मेरा					
8	सुखम्		सुखमस्म्युषितः	सुखम्{अव्य}/सुख{पुं;2;एक}/सुख{नपुं;1;एक}/सुख{नपुं;2;एक}	सुख{पुं;2;एक}	क्रियाविशेषणम्,9	क्रियाविशेषणम्,9	N2						
9	अस्मि			अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,7;सकर्मक	अभिहित_कर्ता,7;सकर्मक	KP	हूँ					
10	उषितः			उषित{पुं;1;एक(वस्1;क्त;वसँ;:भ्वादिः)}/उषित{पुं;1;एक(उष्1;क्त;उषँ;:भ्वादिः)}	उषित{पुं;1;एक(वस्1;क्त;वसँ;:भ्वादिः)}	विधेय_विशेषणम्,14	विधेय_विशेषणम्,14	N1						
11	पुत्र		पुत्र	पुत्र{पुं;8;एक}	पुत्र{पुं;8;एक}	सम्बोध्यः,9	सम्बोध्यः,9	N8	पुत्र					
12	त्वया		त्वया	युष्मद्{सर्वनाम;3;एक}	युष्मद्{सर्वनाम;3;एक}	कर्ता,13	कर्ता,13	N3	तुमसे					
13	सुपरिपालितः		सुपरिपालितः	सुपरिपालित{पुं;1;एक(सु-पाल्1;क्त;पालँ;:चुरादिः)}	सुपरिपालित{पुं;1;एक(सु-पाल्1;क्त;पालँ;:चुरादिः)}	विधेय_विशेषणम्,14	विधेय_विशेषणम्,14	N1	सु-परि_पाल्1या_हुआ					
14	(भवतु)				भू{कर्तरि,लोट्,प्र,एक,परस्मैपदी{धातुः भू} भ्वादिः}	अभिहित_कर्ता;सकर्मक	अभिहित_कर्ता;सकर्मक	KP						
15	.	.	-	-	-	-	-	FS	-					
