index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	prayoga	sarvanAma	Name-classification
													
1.1	सादयित्वा	1	सादयित्वा	साद2{अव्य;क्त्वा;चरँ;:चुरादिः}	साद2{अव्य;क्त्वा;चरँ;:चुरादिः}	समुच्चितः,3.1	समुच्चितः,3.1	NA	जांच् करके				
2.1	पर-	2	पर-बलं	पर	पर	समासः,2.2	समासः,2.2	CP	शत्रूओं का बल्				
2.2	बलं			बल{पुं;2;एक}/बल{नपुं;1;एक}/बल{नपुं;2;एक}	बल{नपुं;2;एक}	कर्म,1.1	कर्म,1.1	N2					
3.1	कृत्वा	3	कृत्वा	कृ2{अव्य;क्त्वा;कृञ्;:स्वादिः}/कृ3{अव्य;क्त्वा;डुकृञ्;:तनादिः}/कृ1{अव्य;क्त्वा;कृञ्;:भ्वादिः}	कृ1{अव्य;क्त्वा;कृञ्;:भ्वादिः}	पूर्वकालः,7.1	पूर्वकालः,7.1	NA	करके				
4.1	च	4	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.1	समुच्चय_द्योतकः,3.1	NA	और				
5.1	बल-	5	बल-हर्षणम्	बल	बल	समासः,5.2	समासः,5.2	CP	अपना बल् देख् के				
5.2	हर्षणम्			हर्षण्{पुं;2;एक}	हर्षण्{पुं;2;एक}	कर्म,3.1	कर्म,3.1	N2					
6.1	स्व-	6	स्व-भूमौ	स्व	स्व	समासः,6.2	समासः,6.2	CP	अपना-भूमि_में				
6.2	भूमौ			भूमि{स्त्री;7;एक}/भूमि{पुं;7;एक}	भूमि{पुं;7;एक}	अन्यतरः,9.1	अन्यतरः,9.1	N7					
7.1	योजयेत्	7	योजयेत्	युज्3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;युजँ;:चुरादिः}/युज्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;युजँ;:दिवादिः}/युज्2{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;युजिँर्;:रुधादिः}/युज्3{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;युजँ;:चुरादिः}	युज्3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;युजँ;:चुरादिः}	अभिहित_कर्ता,0;सकर्मक	अभिहित_कर्ता,0;सकर्मक	KP	योजन्_करे				
8.1	युध्दं		युध्दं	युध्दं{पुं;2;एक}	कलह{पुं;2;एक}	कर्म,7.1	कर्म,7.1	N2	युध्द् को				
9.1	पर-	8	पर-भूमौ	पर	पर	समासः,9.2	समासः,9.2	CP	शत्रुभूमि_में				
9.2	भूमौ			भूमि{स्त्री;7;एक}/भूमि{पुं;7;एक}	भूमि{पुं;7;एक}	अधिकरणम्,7.1	अधिकरणम्,7.1	N7					
10.1	तथैव	9	तथैव	तथैव{अव्य}	तथैव{अव्य}	समुच्चय_द्योतकः,6.2	समुच्चय_द्योतकः,6.2	NA	वैसे_ही				
11.1	च	10	च	च{अव्य}	च{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	भी				
12.1	(वा)	11	(वा)	वा{अव्य}	वा{अव्य}	अन्यतर_द्योतकः,9.2	अन्यतर_द्योतकः,9.2	NA	नहि तो				
13.1	.	.	-	-	-	-	-	FS	-				
