index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_cases	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
6	अपि			अपि{अव्य}	अपि{अव्य}	सम्बन्धः,12	सम्बन्धः,12	NA	भी					
7	च			च{अव्य}	च{अव्य}	सम्बन्धः,6	सम्बन्धः,6	NA	और					
8	कृतकैः	6	कृतकैः	कृतक{पुं;3;बहु}/कृतक{नपुं;3;बहु}	कृतक{पुं;3;बहु}	विशेषणम्,9	विशेषणम्,9	N3	किया_हुओं_से					
9	पुरुषैः	7	पुरुषैः	पुरुष{पुं;3;बहु}	पुरुष{पुं;3;बहु}	करणम्,12	करणम्,12	N3	पुरुषों_से					
10	सदा	8	सदा	सदा{अव्य}	सदा{अव्य}	क्रियाविशेषणम्,12	क्रियाविशेषणम्,12	NA	हमेशा					
11	आज्ञाम्	4	आज्ञाम्	आज्ञा{स्त्री;2;एक}	आज्ञा{स्त्री;2;एक}	कर्म,12	कर्म,12	N2	आज्ञा_को					
12	प्रत्यहरत्	5	प्रत्यहरच्चापि	प्रति_हृ1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;हृञ्;:भ्वादिः}	प्रति_हृ1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;हृञ्;:भ्वादिः}	अभिहित_कर्ता,0	अभिहित_कर्ता,0	KP	नजर_लगाया					
13	.	.	-	-	-	-	-	FS	-					
