index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
9	सुहृज्जनम्	4	सुहृत्जनम्	जन{पुं;2;एक}	जन{पुं;2;एक}	कर्म,10	कर्म,10	N2	जन_को					
10	समानयामास	2	समानयामास	समानयामास}	स_मान्{णिजन्त,कर्तरि,लट्,प्र,एक,आत्मनेपदी{धातुः मानँ} भ्वादिः}	अभिहित_कर्ता,11;सकर्मक	अभिहित_कर्ता,11;सकर्मक	KP						
11	(धृतराष्ट्रः)			धृतराष्ट्र{पुं;1;एक}	धृतराष्ट्र{पुं;1;एक}	कर्ता,10	कर्ता,10	N1	धृतराष्ट्र					
12	.	.	-	-	-	-	-	FS	-					
