index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	prayoga	sarvanAma	Name-classification
													
1.1	मन्द-	1	मन्द-प्राण-गति	मन्द	मन्द	Bs6,1.3	Bs6,1.3	CP	मन्द-प्राण-गति				
1.2	प्राण			प्राण	प्राण	T6,1.3	T6,1.3	CP					
1.3	गतिः			गति{स्त्री;1;एक}/गति{पुं;1;एक}	गति{पुं;1;एक}	विशेषणम्,8.2	विशेषणम्,8.2	N1					
2.1	धीमान्		धीमान्	धीमत्{पुं;1;एक}	धीमत्{पुं;1;एक}	विशेषणम्,8.2	विशेषणम्,8.2	N1	बुद्धिमान्				
3.1	कृच्छ्रात्		कृच्छ्रात्	कृच्छ्र{पुं;5;एक}/कृच्छ्र{नपुं;5;एक}	कृच्छ्र{पुं;5;एक}	हेतुः,5.1	हेतुः,5.1	N5	कृच्छ्र_से				
4.1	इव		इव	इव{अव्य}	इव{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	जैसे				
5.1	समुद्धरन्	2	समुद्धरन्	सम्_उद्धरत्{पुं;1;एक(सम्_उद्_हृ1;शतृ_लट्;हृञ्;:भ्वादिः)}	सम्-उद्धरत्{पुं;1;एक(सम्-हृ1;शतृ_लट्;हृञ्;:भ्वादिः)}	वर्तमानसमानकालः,12.1	वर्तमानसमानकालः,12.1	KP	सम्-उद्धार_करता_हुआ				
6.1	पदातिः	3	पदातिः	पदाति{पुं;1;एक}/पदाति{स्त्री;1;एक}	पदाति{पुं;1;एक}	विशेषणम्,8.2	विशेषणम्,8.2	N1	पैदल_सिपाही				
7.1	सः	4	स	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	विशेषणम्,8.2	विशेषणम्,8.2	N1	वह				
8.1	मही-		मही-पाल	मही	मही	U,8.2	U,8.2	CP					
8.2	पालः	5	महीपालो	पाल{पुं;1;एक}	पाल{पुं;1;एक}	कर्ता,12.1	कर्ता,12.1	N1	पृथ्वी-पाल				
9.1	जीर्णः	6	जीर्णः	जीर्ण{पुं;1;एक}/जीर्ण{पुं;1;एक(जॄ2;क्त;जॄ;:क्र्यादिः)}	जीर्ण{पुं;1;एक(जॄ2;क्त;जॄ;:क्र्यादिः)}	विशेषणम्,10.1	विशेषणम्,10.1	N1	जीर्ण				
10.1	गजपतिः	7	गजपतिः	गजपति{पुं;1;एक}	गजपति{पुं;1;एक}	उपमानम्,8.2	उपमानम्,8.2	N1	गजपति				
11.1	यथा		यथा	यथा{अव्य}	यथा{अव्य}	उपमान_द्योतकः,10.1	उपमान_द्योतकः,10.1	NA	जैसे				
12.1	(ययौ)			या{कर्तरि;लिट्;प्र;एक;परस्मैपदी{धातुः या} अदादिः}	या{कर्तरि;लिट्;प्र;एक;परस्मैपदी{धातुः या} अदादिः}	अभिहित_कर्ता,8.2;सकर्मकः	अभिहित_कर्ता,8.2;सकर्मकः	KP					
13.1	.	.	-	-	-	-	-	FS	-				
