index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	राजानम्	1	राजानम्	राजन्{पुं;2;एक}	राजन्{पुं;2;एक}	अभिहित_कर्म,2.1	अभिहित_कर्म,2.1	N2	राजा_को					
2.1	उपतिष्ठस्व		उपतिष्ठस्व	उपतिष्ठ-स्व{पुं;8;एक}/स्व{नपुं;8;एक}	उपतिष्ठ-स्व{पुं;8;एक}	कर्म,2.1	कर्म,2.1	N8						
3.1	ज्येष्ठं	2	ज्येष्ठं	ज्येष्ठ{पुं;2;एक}/ज्येष्ठ{नपुं;1;एक}/ज्येष्ठ{नपुं;2;एक}	ज्येष्ठ{पुं;2;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N2	ज्येष्ठ_को					
4.1	भ्रातरम्	3	भ्रातरम्	भ्रातृ{पुं;2;एक}	भ्रातृ{पुं;2;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N2	भाई_को					
5.1	ईश्वरम्		ईश्वरम्	ईश्वर{पुं;2;एक}	ईश्वर{पुं;2;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N2	ईश्वर_को					
6.1	अर्हः	4	अर्हः	अर्ह{पुं;1;एक}	अर्ह{पुं;1;एक(अर्ह्1;अच्;अर्हँ;:भ्वादिः)}	विधेय_विशेषणम्,7.1	विधेय_विशेषणम्,7.1	N1	योग्य					
7.1	त्वम्		त्वम्	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,8.1	कर्ता,8.1	N1	तुम					
8.1	असि		असि	अस्2{कर्तरि;लट्;म;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;लट्;म;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,7.1;सकर्मक	अभिहित_कर्ता,7.1;सकर्मक	KP	हो					
9.1	दातुं	5	दातुं	दा1{अव्य;तुमुन्;दाण्;:भ्वादिः}/दा2{अव्य;तुमुन्;दाप्;:अदादिः}/दा3{अव्य;तुमुन्;डुदाञ्;:जुहोत्यादिः}/दे1{अव्य;तुमुन्;देङ्;:भ्वादिः}/दै1{अव्य;तुमुन्;दैप्;:भ्वादिः}/दी1{अव्य;तुमुन्;दीङ्;:दिवादिः}/दो1{अव्य;तुमुन्;दो;:दिवादिः}	दो1{अव्य;तुमुन्;दो;:दिवादिः}	प्रयोजनम्,6.1	प्रयोजनम्,6.1	NA						
10.1	वै	6	वै	वै{अव्य}	वै{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	सुखना					
11.1	न	7	न	न{अव्य}	न{अव्य}	प्रतिषेधः,6.1	प्रतिषेधः,6.1	NA	नहीं					
12.1	आदातुं		आदातुं	अ-दा1{अव्य;तुमुन्;दाण्;:भ्वादिः}/दा2{अव्य;तुमुन्;दाप्;:अदादिः}/दा3{अव्य;तुमुन्;डुदाञ्;:जुहोत्यादिः}/दे1{अव्य;तुमुन्;देङ्;:भ्वादिः}/दै1{अव्य;तुमुन्;दैप्;:भ्वादिः}/दी1{अव्य;तुमुन्;दीङ्;:दिवादिः}/दो1{अव्य;तुमुन्;दो;:दिवादिः}	दा{अव्य;तुमुन्;डुदाञ्;जुहोत्यादिः}	सहायकक्रिया,6.1	सहायकक्रिया,6.1	NA						
13.1	भरतर्षभ	8	भरतर्षभ	भरतर्षभ{पुं;8;एक}	भरतर्षभ{पुं;8;एक}	सम्बोध्यः,18.1	सम्बोध्यः,18.1	N8	भरतर्षभ					
14.1	एवम्	9	एवम्	एवम्{अव्य}	एवम्{अव्य}	सम्बन्धः,18.1	सम्बन्धः,18.1	NA	ऐसा					
15.1	ब्रुवाणम् 	10	ब्रुवाणं	ब्रुव-अण{पुं;2;एक}/अण{नपुं;1;एक}/अण{नपुं;2;एक}	ब्रुव-अण{पुं;2;एक}	विशेषणम्,16.1	विशेषणम्,16.1	N2	ब्रुव-अण					
16.1	कौन्तेयम्	11	कौन्तेयम्	कौन्तेय{पुं;2;एक}	कौन्तेय{पुं;2;एक}	कर्म,18.1	कर्म,18.1	N2	कौन्तेय_की					
17.1	धर्मराजः	12	धर्मराजः	धर्मराज्{पुं;1;बहु}/धर्मराज्{पुं;2;बहु}/धर्मराज्{पुं;5;एक}/धर्मराज्{पुं;6;एक}/धर्मराज{पुं;1;एक}	धर्मराज{पुं;1;एक}	कर्ता,18.1	कर्ता,18.1	N1	धर्मराज_ने					
18.1	अभि-अपूजयत्		अभि-अपूजयत्	अभि-पूज्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;पूजँ;:चुरादिः}/पूज्1{णिजन्त;कर्तरि;लङ्;प्र;एक;परस्मैपदी;पूजँ;:चुरादिः}	अभि-पूज्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;पूजँ;:चुरादिः}	अभिहित_कर्ता,17.1;सकर्मक	अभिहित_कर्ता,17.1;सकर्मक	KP	पूजा_की					
19.1	(त्वम्)				युष्मद्{सर्वनाम;1;एक}	कर्ता,20.1	कर्ता,20.1	N1						
20.1	(असि)				अस्2{कर्तरि;लट्;म;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,19.1	अभिहित_कर्ता,19.1	KP						
21.1	(अर्हः)				अर्ह{पुं;1;एक(अर्ह्1;अच्;अर्हँ;:भ्वादिः)}	विशेषणम्,19.1	विशेषणम्,19.1	N1						
22.1	.	.	-	-	-	-	-	FS	-					
