index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	तुष्ट-	1	तुष्ट-पुष्ट-बलः	तुष्ट	तुष्ट	समासः,1.3	समासः,1.3	CP	समृद्ध और समर्थ  सेना					
1.2	पुष्ट-			पुष्ट	पुष्ट	समासः,1.3	समासः,1.3	CP						
1.3	बलः			बल{पुं;1;एक}	बल{पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N1						
2.1	यायात्	2	यायात्	या1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;या;:अदादिः}/या1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;या;:अदादिः}	या1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;या;:अदादिः}	अभिहित_कर्ता,3.1	अभिहित_कर्ता,3.1	KP	जाये					
3.1	राजा		राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,2.1	कर्ता,2.1	N1	राजा					
4.1	वृद्धि-	3	वृद्धि-उदये	वृद्धि	वृद्धि	समासः,4.2	समासः,4.2	CP	वृद्धि-उदय_में					
4.2	उदये			उदय{पुं;7;एक}/उदय{पुं;7;एक(इ1;घञ्;इण्;:अदादिः)}	उदय{पुं;7;एक(इ1;घञ्;इण्;:अदादिः)}	अधिकरणम्,5.1	अधिकरणम्,5.1	N7						
5.1	रतः	4	रतः	रत{पुं;1;एक(रम्1;क्त;रमुँ;:भ्वादिः)}	रत{पुं;1;एक(रम्1;क्त;रमुँ;:भ्वादिः)}	विशेषणम्,3.1	विशेषणम्,3.1	N1	प्रसन्न					
6.1	आहूतः	5	आहूतः	आहू{अव्य;तसिल्}/आहूत{पुं;1;एक(हु1;क्त;हु;:जुहोत्यादिः)}/आहूत{पुं;1;एक(ह्वे1;क्त;ह्वेञ्;:भ्वादिः)}	आहूत{पुं;1;एक(हु1;क्त;हु;:जुहोत्यादिः)}	विशेषणम्,10.1	विशेषणम्,10.1	N1	बुलाया हुवा					
7.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	और					
8.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	भी					
9.1	अथो		अथो	अथो{अव्य}	अथो{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	अथो					
10.1	यायात्	6	यायात्	या1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;या;:अदादिः}/या1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;या;:अदादिः}	या1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;या;:अदादिः}	अभिहित_कर्ता,13.1	अभिहित_कर्ता,13.1	KP	जाये					
11.1	अनृतौ		अनृतौ	अनृतु{पुं;7;एक}/अनृत{पुं;1;द्वि}/अनृत{पुं;2;द्वि}/अनृत{पुं;8;द्वि}	अनृतु{पुं;7;एक}	अधिकरणम्,10.1	अधिकरणम्,10.1	N7	अनुचित समय पर					
12.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	भी					
13.1	पार्थिवः	7	पार्थिवः	पार्थिव{पुं;1;एक}	पार्थिव{पुं;1;एक}	कर्ता,10.1	कर्ता,10.1	N1	पार्थिव					
14.1	.	.	-	-	-	-	-	FS	-					
