index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	kaaraka_sambandha	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	एवम्	1	एवम्	एवम्{अव्य}	एवम्{अव्य}	क्रियाविशेषणम्,2.1	क्रियाविशेषणम्,2.1	NA	ऐसा					
2.1	उक्तः		उक्तः	उक्त{पुं;1;एक(वच्1;क्त;वचँ;:अदादिः)}	उक्त{पुं;1;एक(वच्1;क्त;वचँ;:अदादिः)}	विशेषणम्,4.1	विशेषणम्,4.1	NA	कहा_हुवा					
3.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	तो					
4.1	कौन्तेयः	2	कौन्तेयः	कौन्तेय{पुं;1;एक}	कौन्तेय{पुं;1;एक}	कर्ता,8.1	कर्ता,8.1	N1	कौन्तेय					
5.1	पित्रा	3	पित्रा	पितृ{पुं;3;एक}	पितृ{पुं;3;एक}	कर्ता,2.1	कर्ता,2.1	N3	पिता_के_द्वारा					
6.1	ज्येष्ठेन	4	ज्येष्ठेन	ज्येष्ठ{पुं;3;एक}/ज्येष्ठ{नपुं;3;एक}	ज्येष्ठ{पुं;3;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N3	ज्येष्ठ					
7.1	भारत	5	भारत	भारत{पुं;8;एक}	भारत{पुं;8;एक}	सम्बोध्यः,8.1	सम्बोध्यः,8.1	N8	भारत					
8.1	पस्पर्श	6	पस्पर्श	स्पृश्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;स्पृशँ;:तुदादिः}/स्पृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;स्पृशँ;:तुदादिः}	स्पृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;स्पृशँ;:तुदादिः}	अभिहित_कर्ता,4.1;सकर्मक	अभिहित_कर्ता,4.1;सकर्मक	KP	छुआ					
9.1	सर्व-	7	सर्व-गात्रेषु	सर्व	सर्व	T1,9.2	T1,9.2	CP	सब-शरीरों_में					
9.2	गात्रेषु			गात्र{पुं;7;बहु}/गात्र{नपुं;7;बहु}	गात्र{नपुं;7;बहु}	अधिकरणम्,8.1	अधिकरणम्,8.1	N7						
10.1	सौहार्दात्	8	सौहार्दात्तं	सौहार्द{पुं;5;एक}/सौहार्द{नपुं;5;एक}	सौहार्द{नपुं;5;एक}	हेतुः,8.1	हेतुः,8.1	N5	मैत्री_से					
11.1	तम्		तम्	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	कर्म,8.1	कर्म,8.1	N2	उसको					
12.1	शनैः	9	शनैः	शनैः{अव्य}	शनैः{अव्य}	क्रियाविशेषणम्,8.1	क्रियाविशेषणम्,8.1	NA	धीरे					
13.1	तदा		तदा	तदा{अव्य}	तदा{अव्य}	कालाधिकरणम्,8.1	कालाधिकरणम्,8.1	NA	तब					
14.1	.	.	-	-	-	-	-	-	-					
