index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	युद्धाय	2	युद्धाय	युद्ध{नपुं;4;एक}/युद्ध{पुं;4;एक}	युद्ध{पुं;4;एक}	प्रयोजनम्,2.2	प्रयोजनम्,2.2	N4	युद्ध_के_लिये					
2.1	अ-	1	अ-शक्नुवन्	अ	अ			CP	अ-सकता_हुआ					
2.2	शक्नुवन्			शक्नुवत्{पुं;1;एक(शक्3;शतृ_लट्;शकॢँ;:स्वादिः)}	शक्नुवत्{पुं;1;एक(शक्3;शतृ_लट्;शकॢँ;:स्वादिः)}	कर्ता,15.1	कर्ता,15.1	N1						
3.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,2.2	सम्बन्धः,2.2	NA	तो					
4.1	अन्ये	8	अन्ये	अन्य{सर्वनाम;पुं;1;बहु}/अन्य{सर्वनाम;नपुं;1;द्वि}/अन्य{सर्वनाम;नपुं;2;द्वि}/अन्या{स्त्री;1;द्वि}/अन्या{स्त्री;2;द्वि}/अन्या{सर्वनाम;स्त्री;1;द्वि}/अन्या{सर्वनाम;स्त्री;2;द्वि}/अन्1{भावे;लट्;उ;एक;आत्मनेपदी;अनँ;:अदादिः}/अन्य{नपुं;8;द्वि}	अन्या{सर्वनाम;पुं;1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1	अन्य_					
5.1	ये	7	ये	यद्{सर्वनाम;पुं;1;बहु}/यद्{सर्वनाम;नपुं;1;द्वि}/यद्{सर्वनाम;नपुं;2;द्वि}/यद्{सर्वनाम;स्त्री;1;द्वि}/यद्{सर्वनाम;स्त्री;2;द्वि}	यद्{सर्वनाम;पुं;1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1	जिनको		नित्य_सम्बन्धः,8			
6.1	प्रियकारिणः	9	प्रियकारिणः	प्रियकारिन्{पुं;1;बहु}/प्रियकारिन्{पुं;2;बहु}/प्रियकारिन्{पुं;5;एक}/प्रियकारिन्{पुं;6;एक}/प्रियकारिन्{नपुं;5;एक}/प्रियकारिन्{नपुं;6;एक}	प्रियकारिन्{पुं;1;बहु}	कर्ता,7.1	कर्ता,7.1	N1	प्रियकारिन्_का					
7.1	(सन्ति)			अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;:अदादिः}/सत्{नपुं;8;बहु}/सत्{नपुं;1;बहु(अस्2;शतृ_लट्;असँ;:अदादिः)}/सत्{नपुं;2;बहु(अस्2;शतृ_लट्;असँ;:अदादिः)}	अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,1.1	अभिहित_कर्ता,1.1	KP	हैं					
8.1	(तैः)			तद्{सर्वनाम;पुं;3;बहु}/तद्{सर्वनाम;नपुं;3;बहु}	तद्{सर्वनाम;पुं;3;बहु}	समुच्चितः,12.1	समुच्चितः,12.1	N3	उनसे		नित्य_सम्बन्धः,5			
9.1	पौरैः	6	पौरैः	पौर{पुं;3;बहु}/पौर{नपुं;3;बहु}	पौर{नपुं;3;बहु}	समुच्चितः,12.1	समुच्चितः,12.1	N3	नागरिकों_से					
10.1	कोशेन	5	कोशेन	कोश{पुं;3;एक}	कोश{पुं;3;एक}	समुच्चितः,12.1	समुच्चितः,12.1	N3	कोश_से					
11.1	दण्डेन		दण्डेन	दण्ड{पुं;3;एक}	दण्ड{पुं;3;एक}	समुच्चितः,12.1	समुच्चितः,12.1	N3	दण्ड_से					
12.1	मन्त्रिभिः	4	मन्त्रिभिः	मन्त्रिन्{पुं;3;बहु}	मन्त्रिन्{पुं;3;बहु}	सहार्थः,15.1	सहार्थः,15.1	N3	मन्त्रियों_के					
13.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,12.1	समुच्चय_द्योतकः,12.1	NA	और					
14.1	सह	3	सह	सह{अव्य}	सह{अव्य}	सहार्थ_द्योतकः,12.1	सहार्थ_द्योतकः,12.1	NA	साथ					
15.1	निष्पतेत्		निष्पतेत्	निस्-पत्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;पतॢँ;:भ्वादिः}	निस्-पत्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;पतॢँ;:भ्वादिः}	अभिहित_कर्म,0	अभिहित_कर्म,0	KP	गिरे	`				
16.1	.	.	-	-	-	-	-	FS	-					
