index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	इति	1	इति	इति{अव्य}	इति{अव्य}	कर्म,2.1	कर्म,2.1	NA	ऐसा					
2.1	उक्ताः		उक्ताः	उक्त{पुं;1;बहु(वच्1;क्त;वचँ;:अदादिः)}/उक्ता{स्त्री;1;बहु(वच्1;क्त;वचँ;:अदादिः)}/उक्ता{स्त्री;2;बहु(वच्1;क्त;वचँ;:अदादिः)}	उक्त{पुं;1;बहु(वच्1;क्त;वचँ;:अदादिः)}	विशेषणम्,7.1	विशेषणम्,7.1	N1	कहा_हुवे					
3.1	तेन		तेन	तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनुँ;:तनादिः}	तद्{सर्वनाम;पुं;3;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N3	उस					
4.1	ते	2	ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	तद्{सर्वनाम;पुं;1;बहु}	विशेषणम्,7.1	विशेषणम्,7.1	N1	वे					
5.1	राज्ञा	3	राज्ञा	राजन्{पुं;3;एक}	राजन्{पुं;3;एक}	कर्ता,2.1	कर्ता,2.1	N3	राजा_के_द्वारा					
6.1	पौर-	4	पौर-जान-पदाः	पौर	पौर	समासः,6.2	समासः,6.2	CP	पौर-पद					
6.2	जान-			जान	जान	समासः,6.3	समासः,6.3	CP						
6.3	पदाः			पद{पुं;1;बहु}	पद{पुं;1;बहु}	विशेषणम्,7.1	विशेषणम्,7.1	N1						
7.1	जनाः		जनाः	जन{पुं;1;बहु}/जन{पुं;8;बहु}	जन{पुं;1;बहु}	कर्ता,9.1	कर्ता,9.1	N1	जन					
8.1	न	5	न	न{अव्य}	न{अव्य}	प्रतिषेधः,9.1	प्रतिषेधः,9.1	NA	नहीं					
9.1	ऊचुः			उच्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;उचँ;:दिवादिः}/वच्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;वचँ;:अदादिः}	वच्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;वचँ;:अदादिः}	अभिहित_कर्ता,7.1;सकर्मक	अभिहित_कर्ता,7.1;सकर्मक	KP	बोले					
10.1	बाष्प-		बाष्प-कलाः	बाष्प	बाष्प	समासः,10.2	समासः,10.2	CP	भाप-मन्द					
10.2	कलाः			कल{पुं;8;बहु}/कल{पुं;1;बहु}/कला{स्त्री;8;बहु}/कला{स्त्री;1;बहु}/कला{स्त्री;2;बहु}	कल{पुं;1;बहु}	विशेषणम्,7.1	विशेषणम्,7.1	N1						
11.1	किञ्चित्	6	किञ्चित्	किञ्चित्{अव्य}/किञ्चित्{सर्वनाम;नपुं;1;एक}/किञ्चित्{सर्वनाम;नपुं;2;एक}	किञ्चित्{अव्य}	क्रियाविशेषणम्,9.1	क्रियाविशेषणम्,9.1	NA	कुछ					
12.1	(ते)	7	ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	तद्{सर्वनाम;पुं;1;बहु}	कर्ता,14.1	कर्ता,14.1	N1	उन्होंने				अध्याहारः	
13.1	वीक्षां	8	वीक्षां	वीक्षा{स्त्री;2;एक}	वीक्षा{स्त्री;2;एक}	कर्म,14.1	कर्म,14.1	N2	देखना_को					
14.1	चक्रुः	9	चक्रुः	कृ1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;कृञ्;:भ्वादिः}/कृ2{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;कृञ्;:स्वादिः}/कृ3{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;डुकृञ्;:तनादिः}	कृ3{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;डुकृञ्;:तनादिः}	अभिहित_कर्ता,12.1;सकर्मक	अभिहित_कर्ता,12.1;सकर्मक	KP	किया					
15.1	परस्परम्	10	परस्परम्	परस्पर{पुं;2;एक}/परस्पर{नपुं;1;एक}/परस्पर{नपुं;2;एक}	परस्पर{पुं;2;एक}	क्रियाविशेषणम्,13.1	क्रियाविशेषणम्,13.1	N2	परस्पर					
16.1	.	.	-	-	-	-	-	FS	-					
