index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	prayoga	sarvanAma	Name-classification
												
1.1	शंतनुः	1	शंतनुः	शन्तनु{पुं;1;एक}	शन्तनु{पुं;1;एक}	कर्ता,2.1	कर्ता,2.1	N1	शन्तनु_ने			
2.1	पालयामास	2	पालयामास	पाल्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;पालँ;:चुरादिः}/पाल्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;पालँ;:चुरादिः}/पाल्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;पालँ;:चुरादिः}/पा2{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;म;बहु;आत्मनेपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;प्र;एक;परस्मैपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;प्र;एक;आत्मनेपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;उ;एक;आत्मनेपदी;पा;:अदादिः}/पल्1{णिजन्त;कर्तरि;लिट्;प्र;एक;परस्मैपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;प्र;एक;आत्मनेपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;उ;एक;आत्मनेपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;म;बहु;आत्मनेपदी;पलँ;:भ्वादिः}	पाल्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;पालँ;:चुरादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	पालन_किया			
3.1	यथावत्	3	यथावत्	यथावत्{अव्य}	यथावत्{अव्य}	क्रियाविशेषणम्,2.1	क्रियाविशेषणम्,2.1	NA	ठीक_ठीक_ज्यों_का_त्यों			
4.1	पृथिवीम्		पृथिवीम्	पृथिवी{स्त्री;2;एक}	पृथिवी{स्त्री;2;एक}	कर्म,2.1	कर्म,2.1	N2	पृथ्वी_का			
5.1	इमाम्		इमाम्	इदम्{सर्वनाम;स्त्री;2;एक}	इदम्{सर्वनाम;स्त्री;2;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N2	इस			
6.1	.	.	-	-	-	-	-	FS	-			
