index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning
										
1.1	पृथिवी-	3	पृथिवी-पते	पृथिवी	पृथिवी	समासः,1.2	समासः,1.2	CP		
1.2	पते			पत{पुं;7;एक}/पत{नपुं;8;द्वि}/पत{नपुं;1;द्वि}/पत{नपुं;2;द्वि}/पत{नपुं;7;एक}/पति{पुं;8;एक}/पति{नपुं;8;एक}/पति{नपुं;1;एक}/पति{नपुं;2;एक}/पता{स्त्री;8;एक}/पता{स्त्री;8;द्वि}/पता{स्त्री;1;द्वि}/पता{स्त्री;2;द्वि}	पति{पुं;8;एक}	सम्बोध्यः,8.1	सम्बोध्यः,8.1	N8		
2.1	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,4.1	कर्ता,4.1	N1		
3.1	यथा	2	यथा	यथा{अव्य}	यथा{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1	NA		
4.1	आत्थ		आत्थ	आङ्_अद्2{कर्तरि;लट्;म;बहु;परस्मैपदी;अदँ;:अदादिः}	आङ्_अद्2{कर्तरि;लट्;म;बहु;परस्मैपदी;अदँ;:अदादिः}	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP		
5.1	(तथा)			तथा{अव्य}	तथा{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA		
6.1	एतत्	1	एतत्	एतद्{सर्वनाम;नपुं;1;एक}/एतद्{सर्वनाम;नपुं;2;एक}	एतद्{सर्वनाम;नपुं;2;एक}	कर्म,8.1	कर्म,8.1	N2		
7.1	एवम्		एवम्	एवम्{अव्य}	एवम्{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA		
8.1	करिष्यामि		करिष्यामि	कृ3{कर्तरि;लृट्;उ;एक;परस्मैपदी;डुकृञ्;:तनादिः}	कृ3{कर्तरि;लृट्;उ;एक;परस्मैपदी;डुकृञ्;:तनादिः}	अभिहित_कर्ता,12.1	अभिहित_कर्ता,12.1	KP		
9.1	पार्थिव-	6	पार्थिव-ऋषभ	पार्थिव	पार्थिव	समासः,9.2	समासः,9.2	CP		
9.2	ऋषभ			ऋषभ{पुं;8;एक}/ऋषभ{नपुं;8;एक}	ऋषभ{नपुं;8;एक}	सम्बोध्यः,8.1	सम्बोध्यः,8.1	N8		
10.1	भूयः	4	भूयः	भूयः{अव्य}/भूयस्{नपुं;1;एक}/भूयस्{नपुं;2;एक}/भूयस्{नपुं;8;एक}	भूयस्{नपुं;1;एक}	क्रियाविशेषणम्,15.1	क्रियाविशेषणम्,15.1	N1		
11.1	भवता	5	भवता	भवत्{सर्वनाम;पुं;3;एक}/भवत्{पुं;3;एक}	भवत्{पुं;3;एक}	कर्ता,15.1	कर्ता,15.1	N3		
12.1	अहम्		अहम्	अस्मद्{सर्वनाम;1;एक}	अस्मद्{सर्वनाम;1;एक}	कर्म,15.1	कर्म,15.1	N1		
13.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1	NA		
14.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,13.1	सम्बन्धः,13.1	NA		
15.1	अनुशास्यः		अनुशास्यः	अनु-शास्य{पुं;1;एक(अनु-शस्1;ण्यत्;शसुँ;:भ्वादिः)}	अनु-शास्य{पुं;1;एक(अनु-शस्1;ण्यत्;शसुँ;:भ्वादिः)}	अभिहित_कर्ता,11.1	अभिहित_कर्ता,11.1	KP		
16.1	.	.	-	-	-	-	-	FS		
