index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification	Marathi_meaning
															
1.1	तूष्णीम्-	1	तूष्णीम्-भूतान्	तूष्णीम	तूष्णीम्-	समासः,1.2	समासः,1.2	CP	मौन_होने_पर	become_silent					मौन_झालेले
1.2	भूतान्			भूत{पुं;2;बहु(अस्2;क्त;असँ;:अदादिः)}/भूत{पुं;2;बहु(भू1;क्त;भू;:भ्वादिः)}	भूत{पुं;2;बहु(भू1;क्त;भू;:भ्वादिः)}	विशेषणम्,3.1	विशेषणम्,3.1	N2							
2.1	ततः		ततः	ततः{अव्य}	ततः{अव्य}	अधिकरणम्,12.1	अधिकरणम्,12.1	NA	वहाँ	there					तेथे
3.1	तान्		तान्	तद्{सर्वनाम;पुं;2;बहु}	तद्{सर्वनाम;पुं;2;बहु}	कर्म,7.1	कर्म,7.1	N2	उनके	them					त्यान्ना
4.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	तो	too					आणि
5.1	बाष्प-		बाष्प-कण्ठान्	बाष्प	बाष्प	समासः,5.2	समासः,5.2	CP	गद्गदकंठ	with_choked_throats					ओलसर_कंठ
5.2	कण्ठान्			कण्ठ{पुं;2;बहु}	कण्ठ{पुं;2;बहु}	विशेषणम्,3.1	विशेषणम्,3.1	N2							
6.1	महीपतिः		महीपतिः	महीपति{पुं;1;एक}	महीपति{पुं;1;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N1	राजा	King					राजा
7.1	(दृष्ट्वा)			दृश्1{अव्य;क्त्वा;दृशिँर्;:भ्वादिः}	दृश्1{अव्य;क्त्वा;दृशिँर्;:भ्वादिः}	पूर्वकालः,12.1	पूर्वकालः,12.1	NA	देख_कर	seeing					पाहून
8.1	धृतराष्ट्रः	2	धृतराष्ट्रो	धृतराष्ट्र{पुं;1;एक}	धृतराष्ट्र{पुं;1;एक}	कर्ता,12.1	कर्ता,12.1	N1	धृतराष्ट्र_ने	Dhritarashta					धृतराष्ट्र
9.1	मही-	3	मही-पालः	मही	मही	समासः,9.2	समासः,9.2	CP	पृथ्वी-पाल	King					महिपाल
9.2	पालः			पाल{पुं;1;एक}	पाल{पुं;1;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N1							
10.1	पुनः	4	पुनः	पुनः{अव्य}	पुनः{अव्य}	क्रियाविशेषणम्,12.1	क्रियाविशेषणम्,12.1	NA	फिर	again					पुन्हा
11.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	एक_बार	once					एकदा
12.1	अभ्यभाषत		अभ्यभाषत	अभि_भाष्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;भाषँ;:भ्वादिः}	अभि_भाष्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;भाषँ;:भ्वादिः}	अभिहित_कर्ता,8.1;सकर्मक	अभिहित_कर्ता,8.1;सकर्मक	KP	बोलने_लगे	Spoke					बोलू_लागले
13.1	.	.	-	-	-	-	-	FS	-	-					
