index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	kaaraka_sambandha	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	भूमिः	17	भूमिः	भूमि{स्त्री;1;एक}	भूमि{स्त्री;1;एक}	कर्म,3.1	कर्म,3.1	N1	भूमि					
2.1	अल्प-		अल्प-फला	अल्प	अल्प	समासः,2.2	समासः,2.2	CP	कम-फला					
2.2	फला			फला{स्त्री;1;एक}	फला{स्त्री;1;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N1						
3.1	देया	18	देया		देया{स्त्री;1;एक(दा3;यत्;डुदाञ्;:जुहोत्यादिः)}	अभिहित_कर्म,1.1;सकर्मक	अभिहित_कर्म,1.1;सकर्मक	N1						
4.1	विपरीतस्य	19	विपरीतस्य	विपरीत{पुं;6;एक(इ1;क्त;इण्;:अदादिः)}/विपरीत{नपुं;6;एक(इ1;क्त;इण्;:अदादिः)}	विपरीत{पुं;6;एक(इ1;क्त;इण्;:अदादिः)}	सम्प्रदानम्,3.1	सम्प्रदानम्,3.1	N6						
5.1	भारत	20	भारत	भारत{पुं;8;एक}	भारत{पुं;8;एक}	सम्बोध्यः,3.1	सम्बोध्यः,3.1	N8	भारत					
6.1	हिरण्यं		हिरण्यं	हिरण्य{नपुं;1;एक}/हिरण्य{नपुं;2;एक}	हिरण्य{नपुं;1;एक}	समुच्चितः,8.1	समुच्चितः,8.1	N1	सुनहरी	सुनहरी				
7.1	कुप्य-		कुप्य-भूयिष्ठं	कुप्य	कुप्य	समासः,7.2	समासः,7.2	CP						
7.2	भूयिष्ठं			भूयिष्ठ{नपुं;1;एक}	भूयिष्ठ{नपुं;1;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N1						
8.1	मित्रं		मित्रं	मित्र{पुं;2;एक}/मित्र{नपुं;1;एक}/मित्र{नपुं;2;एक}	मित्र{पुं;2;एक}	कर्म,10.2	कर्म,10.2	N2	सूर्य_को	सूर्य_को				
9.1	क्षीणम्		क्षीणम्	क्षीण{पुं;2;एक(क्षि1;क्त;भ्वादिः)}/क्षीण{नपुं;1;एक(क्षि1;क्त;भ्वादिः)}/क्षीण{नपुं;2;एक(क्षि1;क्त;भ्वादिः)}/क्षीण{पुं;2;एक(क्षी1;क्त;क्र्यादिः)}/क्षीण{नपुं;1;एक(क्षी1;क्त;क्र्यादिः)}/क्षीण{नपुं;2;एक(क्षी1;क्त;क्र्यादिः)}	क्षीण{पुं;2;एक(क्षि1;क्त;भ्वादिः)}	विशेषणम्,8.1	विशेषणम्,8.1	N2	क्षीण_को	क्षीण_को				
10.1	अकोशवत्		अकोशवत्	कोश{अव्य;वत्}/कोश{मतुप्;नपुं;1;एक}/कोश{मतुप्;नपुं;2;एक}	कोश{अव्य;वत्}	विशेषणम्,8.1	विशेषणम्,8.1	NA						
10.2	(देयम्)					अभिहित_कर्म,8.1;सकर्मक	अभिहित_कर्म,8.1;सकर्मक	N1						
10.3	(नृपतिना)					कर्ता,3.1;कर्ता,10.2	कर्ता,3.1;कर्ता,10.2	N3						
11.1	विपरीतात्	5	विपरीतात्	विपरीत{पुं;5;एक(इ1;क्त;इण्;:अदादिः)}/विपरीत{नपुं;5;एक(इ1;क्त;इण्;:अदादिः)}	विपरीत{नपुं;5;एक(इ1;क्त;इण्;:अदादिः)}	अपादानम्,13.1	अपादानम्,13.1	N5	उलटे_से					
12.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,13.1	प्रतिषेधः,13.1	NA	नहीं					
13.1	गृह्णीयात्	6	गृह्णीयात्	ग्रह्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;ग्रहँ;:क्र्यादिः}	ग्रह्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;ग्रहँ;:क्र्यादिः}	अभिहित_कर्ता,14.2;सकर्मक	अभिहित_कर्ता,14.2;सकर्मक	KP	ले					
13.2	(एतत्)					कर्म,13.1	कर्म,13.1	N1						
14.1	स्वयम्		स्वयम्	स्वयम्{अव्य}	स्वयम्{अव्य}	विशेषणम्,14.2	विशेषणम्,14.2	NA	खुद					
14.2	(नृपतिः)					कर्ता,13.1	कर्ता,13.1	N1						
15.1	सन्धि-	7	सन्धि-विशारदः	सन्धि	सन्धि	समासः,15.2	समासः,15.2	CP	सन्धि-चतुर					
15.2	विशारदः			विशारद{पुं;1;एक}	विशारद{पुं;1;एक}	विशेषणम्,14.2	विशेषणम्,14.2	N1						
16.1	.	.	-	-	-	-	-	FS	-	-				
